T,X,V,A,P1,P2,DP1,DP2,U
1.100010012854824e-02,	5.000000000000000e+00,	8.157374343040780e-01,	1.946611316717337e+01,	7.772120362150494e+05,	1.763923525033971e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.200010014023434e-02,	5.000000000000000e+00,	8.355168621289991e-01,	2.006013263770119e+01,	7.773313480368019e+05,	1.763836177825683e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.300010015192044e-02,	5.000000000000000e+00,	8.557919536559895e-01,	2.045697691396931e+01,	7.774216960002719e+05,	1.763770034663656e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.400010016360653e-02,	5.000000000000000e+00,	8.763644627592643e-01,	2.065482408803080e+01,	7.774825068555491e+05,	1.763725515216345e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.500010017529263e-02,	5.000000000000000e+00,	8.970352800520600e-01,	2.065376773255840e+01,	7.775134946802184e+05,	1.763702828803656e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.600010018697873e-02,	5.000000000000000e+00,	9.176063398995892e-01,	2.045579695020842e+01,	7.775146607466874e+05,	1.763701974494076e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.700010019866482e-02,	5.000000000000000e+00,	9.378824985060514e-01,	2.006475854841054e+01,	7.774862906525511e+05,	1.763722743205496e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.800010021035092e-02,	5.000000000000000e+00,	9.576733654567402e-01,	1.948630187807851e+01,	7.774289487685891e+05,	1.763764721769752e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.900010022203702e-02,	5.000000000000000e+00,	9.767950717153767e-01,	1.872780703467001e+01,	7.773434700840190e+05,	1.763827298902608e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.000010023372312e-02,	5.000000000000000e+00,	9.950719578518092e-01,	1.779829727170639e+01,	7.772309495526551e+05,	1.763909673003285e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.100010024540921e-02,	5.000000000000000e+00,	1.012338167197235e+00,	1.670833661893641e+01,	7.770927290664163e+05,	1.764010861690982e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.200010025709531e-02,	5.000000000000000e+00,	1.028439129682816e+00,	1.546991382851704e+01,	7.769303822039942e+05,	1.764129712970166e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.300010026878141e-02,	5.000000000000000e+00,	1.043232923301594e+00,	1.409631389177235e+01,	7.767456969222318e+05,	1.764264917901977e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.400010028046751e-02,	5.000000000000000e+00,	1.056591501430338e+00,	1.260197847522836e+01,	7.765406563757131e+05,	1.764415024645948e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.500010029215360e-02,	5.000000000000000e+00,	1.068401775643995e+00,	1.100235671685923e+01,	7.763174180660631e+05,	1.764578453724517e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.600010030383970e-02,	5.000000000000000e+00,	1.078566545136381e+00,	9.313747901053167e+00,	7.760782915363825e+05,	1.764753514352628e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.700010031552580e-02,	5.000000000000000e+00,	1.087005265411674e+00,	7.553137593127884e+00,	7.758257148379632e+05,	1.764938421666128e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.800010032721190e-02,	5.000000000000000e+00,	1.093654650516782e+00,	5.738028860861428e+00,	7.755622300058834e+05,	1.765131314675750e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.900010033889799e-02,	5.000000000000000e+00,	1.098469104728792e+00,	3.886270241150907e+00,	7.752904577871701e+05,	1.765330274768281e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.000010035058409e-02,	5.000000000000000e+00,	1.101420981278384e+00,	2.015882124449358e+00,	7.750130718699251e+05,	1.765533344573068e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.100010036227019e-02,	5.000000000000000e+00,	1.102500667363343e+00,	1.448832280756673e-01,	7.747327728640921e+05,	1.765738547010345e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.200010037395629e-02,	5.000000000000000e+00,	1.101716496369980e+00,	-1.708881187985045e+00,	7.744522622844193e+05,	1.765943904337948e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.300010038564238e-02,	5.000000000000000e+00,	1.099094489858595e+00,	-3.527907742236725e+00,	7.741742167836560e+05,	1.766147457014848e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.400000039732731e-02,	5.000000000000000e+00,	1.094678462978025e+00,	-5.295024825607262e+00,	7.739012898342172e+05,	1.766347262470084e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.500000040901341e-02,	5.000000000000000e+00,	1.088527491860609e+00,	-6.994251607381450e+00,	7.736359784752619e+05,	1.766541492655161e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.600000042069951e-02,	5.000000000000000e+00,	1.080717834862720e+00,	-8.609884359827355e+00,	7.733807638821366e+05,	1.766728331135456e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.700000043238560e-02,	5.000000000000000e+00,	1.071340457189238e+00,	-1.012735044382158e+01,	7.731379789561578e+05,	1.766906070025683e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.800000044407170e-02,	5.000000000000000e+00,	1.060500366521793e+00,	-1.153315819130268e+01,	7.729098148753532e+05,	1.767073105194242e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.900000045575780e-02,	5.000000000000000e+00,	1.048315472096482e+00,	-1.281501478727876e+01,	7.726983016126098e+05,	1.767227950525626e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.000000046744390e-02,	5.000000000000000e+00,	1.034915332122582e+00,	-1.396193154838759e+01,	7.725052901846843e+05,	1.767369250915669e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.100000047912999e-02,	5.000000000000000e+00,	1.020439802596027e+00,	-1.496431571962281e+01,	7.723324367841022e+05,	1.767495793888377e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.200000049081609e-02,	5.000000000000000e+00,	1.005037601371745e+00,	-1.581404804812416e+01,	7.721811889265049e+05,	1.767606519737259e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.300000050250219e-02,	5.000000000000000e+00,	9.888648020289862e-01,	-1.650454553591173e+01,	7.720527737254737e+05,	1.767700530109169e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.400000051418829e-02,	5.000000000000000e+00,	9.720832725885091e-01,	-1.703080892070917e+01,	7.719481883854554e+05,	1.767777094964312e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
