T,X,V,A,P1,P2,U
0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	3.962351083755493e-01
1.000100011687266e-03,	1.709074253482464e-07,	5.129315750093713e-04,	1.017679712282615e+00,	3.043660844060943e+06,	6.956474155939057e+06,	3.957118391990662e-01
2.000100023373363e-03,	1.350875166039726e-06,	2.000965412909837e-03,	1.941525138254499e+00,	3.043790759581874e+06,	6.956344240418126e+06,	3.941151201725006e-01
3.000100035059461e-03,	4.464128816793108e-06,	4.363025520231135e-03,	2.766505738038932e+00,	3.043908202259235e+06,	6.956226797740765e+06,	3.915562033653259e-01
4.000100046745558e-03,	1.033604068478156e-05,	7.502587112213546e-03,	3.497319813858561e+00,	3.044013688731347e+06,	6.956121311268653e+06,	3.881413936614990e-01
5.000100058431656e-03,	1.969782406623509e-05,	1.132787200195965e-02,	4.138756009533270e+00,	3.044107754708495e+06,	6.956027245291505e+06,	3.839716911315918e-01
6.000100070117753e-03,	3.319131889724112e-05,	1.575192071969413e-02,	4.695657389948945e+00,	3.044190950101494e+06,	6.955944049898506e+06,	3.791428208351135e-01
7.000100081803851e-03,	5.137383208489345e-05,	2.069263027232771e-02,	5.172888628381009e+00,	3.044263834532812e+06,	6.955871165467188e+06,	3.737451732158661e-01
8.000100093489948e-03,	7.472299969647178e-05,	2.607276059929837e-02,	5.575306191488138e+00,	3.044326973219248e+06,	6.955808026780752e+06,	3.678637742996216e-01
9.000100105176045e-03,	1.036416411825709e-04,	3.181991266583736e-02,	5.907731409577567e+00,	3.044380933214648e+06,	6.955754066785352e+06,	3.615783154964447e-01
1.000010011686214e-02,	1.384625786942431e-04,	3.786648101799559e-02,	6.174926308898851e+00,	3.044426279999540e+06,	6.955708720000460e+06,	3.549632430076599e-01
1.100010012854824e-02,	1.794533973155838e-04,	4.414958349771339e-02,	6.381572080212470e+00,	3.044463574404015e+06,	6.955671425595985e+06,	3.480877578258514e-01
1.200010014023434e-02,	2.268211246698708e-04,	5.061097069345141e-02,	6.532250057605164e+00,	3.044493369849951e+06,	6.955641630150049e+06,	3.410159647464752e-01
1.300010015192044e-02,	2.807168108674515e-04,	5.719691756970331e-02,	6.631425077312439e+00,	3.044516209897977e+06,	6.955618790102023e+06,	3.338070511817932e-01
1.400010016360653e-02,	3.412399921437677e-04,	6.385809959239103e-02,	6.683431085900852e+00,	3.044532626084266e+06,	6.955602373915734e+06,	3.265152871608734e-01
1.500010017529263e-02,	4.084430237828517e-04,	7.054945552675204e-02,	6.692458859513197e+00,	3.044543136031054e+06,	6.955591863968946e+06,	3.191902935504913e-01
1.600010018697873e-02,	4.823352700366413e-04,	7.723003896252217e-02,	6.662545713968637e+00,	3.044548241817075e+06,	6.955586758182925e+06,	3.118771612644196e-01
1.700010019866482e-02,	5.628871407382719e-04,	8.386286048535067e-02,	6.597567066928211e+00,	3.044548428591383e+06,	6.955586571408617e+06,	3.046165406703949e-01
1.800010021035092e-02,	6.500339661610262e-04,	9.041472228464456e-02,	6.501229726082050e+00,	3.044544163415560e+06,	6.955590836584440e+06,	2.974450290203094e-01
1.900010022203702e-02,	7.436797034009726e-04,	9.685604685996278e-02,	6.377066779772417e+00,	3.044535894319549e+06,	6.955599105680451e+06,	2.903952002525330e-01
2.000010023372312e-02,	8.437004691629801e-04,	1.031607013674670e-01,	6.228433963711701e+00,	3.044524049555719e+06,	6.955610950444281e+06,	2.834958136081696e-01
2.100010024540921e-02,	9.499478953074620e-04,	1.093058190212379e-01,	6.058507385821654e+00,	3.044509037036824e+06,	6.955625962963176e+06,	2.767720222473145e-01
2.200010025709531e-02,	1.062252304872524e-03,	1.152716188495095e-01,	5.870282491316997e+00,	3.044491243943322e+06,	6.955643756056678e+06,	2.702456116676331e-01
2.300010026878141e-02,	1.180425707527848e-03,	1.210412249904395e-01,	5.666574159456123e+00,	3.044471036486684e+06,	6.955663963513316e+06,	2.639351487159729e-01
2.400010028046751e-02,	1.304264614547256e-03,	1.266004866036479e-01,	5.450017819373918e+00,	3.044448759814581e+06,	6.955686240185419e+06,	2.578562498092651e-01
2.500010029215360e-02,	1.433552674408185e-03,	1.319377993654251e-01,	5.223071484735975e+00,	3.044424738045427e+06,	6.955710261954573e+06,	2.520216405391693e-01
2.600010030383970e-02,	1.568063131043435e-03,	1.370439294148082e-01,	4.988018606712294e+00,	3.044399274419573e+06,	6.955735725580427e+06,	2.464415282011032e-01
2.700010031552580e-02,	1.707561107590657e-03,	1.419118405233293e-01,	4.746971651310898e+00,	3.044372651555203e+06,	6.955762348444797e+06,	2.411236464977264e-01
2.800010032721190e-02,	1.851805719210182e-03,	1.465365251683594e-01,	4.501876314004328e+00,	3.044345131797829e+06,	6.955789868202171e+06,	2.360734790563583e-01
2.900010033889799e-02,	2.000552019177734e-03,	1.509148401005596e-01,	4.254516281604986e+00,	3.044316957651746e+06,	6.955818042348254e+06,	2.312945425510406e-01
3.000010035058409e-02,	2.153552783007980e-03,	1.550453469175802e-01,	4.006518469353208e+00,	3.044288352284195e+06,	6.955846647715805e+06,	2.267883718013763e-01
3.100010036227019e-02,	2.310560135839026e-03,	1.589281580774180e-01,	3.759358650190991e+00,	3.044259520091298e+06,	6.955875479908702e+06,	2.225548624992371e-01
3.200010037395629e-02,	2.471327028702570e-03,	1.625647887114045e-01,	3.514367414693829e+00,	3.044230647317822e+06,	6.955904352682178e+06,	2.185923606157303e-01
3.300010038564238e-02,	2.635608569633050e-03,	1.659580145326917e-01,	3.272736391257384e+00,	3.044201902721363e+06,	6.955933097278637e+06,	2.148977816104889e-01
3.400000039732731e-02,	2.803146304672357e-03,	1.691114325156478e-01,	3.035548132989565e+00,	3.044173441100571e+06,	6.955961558899429e+06,	2.114671915769577e-01
3.500000040901341e-02,	2.973736630224898e-03,	1.720305690277025e-01,	2.803688236704074e+00,	3.044145392666404e+06,	6.955989607333596e+06,	2.082945108413696e-01
3.600000042069951e-02,	3.147131158392799e-03,	1.747208656813740e-01,	2.577994466993278e+00,	3.044117880892752e+06,	6.956017119107248e+06,	2.053737193346024e-01
3.700000043238560e-02,	3.323104253806357e-03,	1.771888483071782e-01,	2.359168023058567e+00,	3.044091011853964e+06,	6.956043988146036e+06,	2.026976644992828e-01
3.800000044407170e-02,	3.501437139597213e-03,	1.794416904278483e-01,	2.147804207617370e+00,	3.044064877865165e+06,	6.956070122134835e+06,	2.002584338188171e-01
3.900000045575780e-02,	3.681918493257897e-03,	1.814871107061229e-01,	1.944399105921401e+00,	3.044039558264659e+06,	6.956095441735341e+06,	1.980475336313248e-01
4.000000046744390e-02,	3.864344943277636e-03,	1.833332770377492e-01,	1.749356192700382e+00,	3.044015120195588e+06,	6.956119879804412e+06,	1.960559636354446e-01
4.100000047912999e-02,	4.048521473160077e-03,	1.849887172058885e-01,	1.562992842978706e+00,	3.043991619383335e+06,	6.956143380616665e+06,	1.942743808031082e-01
4.200000049081609e-02,	4.234261739329582e-03,	1.864622359822155e-01,	1.385546710054981e+00,	3.043969100903493e+06,	6.956165899096507e+06,	1.926930248737335e-01
4.300000050250219e-02,	4.421388309303950e-03,	1.877628385334063e-01,	1.217181955074373e+00,	3.043947599937996e+06,	6.956187400062004e+06,	1.913020461797714e-01
4.400000051418829e-02,	4.609732826360146e-03,	1.888996599721633e-01,	1.057995302436157e+00,	3.043927142515671e+06,	6.956207857484329e+06,	1.900913268327713e-01
4.500000052587438e-02,	4.799136106747382e-03,	1.898819008682516e-01,	9.080219026614845e-01,	3.043907746234380e+06,	6.956227253765620e+06,	1.890507936477661e-01
4.600000053756048e-02,	4.989448175309404e-03,	1.907187685219161e-01,	7.672409909116776e-01,	3.043889420962859e+06,	6.956245579037141e+06,	1.881702840328217e-01
4.700000054924658e-02,	5.180528245172638e-03,	1.914194237858773e-01,	6.355813244748649e-01,	3.043872169519647e+06,	6.956262830480353e+06,	1.874397248029709e-01
4.800000056093268e-02,	5.372244646937421e-03,	1.919929332108325e-01,	5.129263909720009e-01,	3.043855988327651e+06,	6.956279011672349e+06,	1.868491321802139e-01
4.900000057261877e-02,	5.564474712580252e-03,	1.924482262827884e-01,	3.991193814941904e-01,	3.043840868043224e+06,	6.956294131956776e+06,	1.863886564970016e-01
5.000000058430487e-02,	5.757104619038947e-03,	1.927940575104962e-01,	2.939679182595276e-01,	3.043826794157983e+06,	6.956308205842017e+06,	1.860487163066864e-01
5.100000059599097e-02,	5.950029196208064e-03,	1.930389731180694e-01,	1.972485361227739e-01,	3.043813747572929e+06,	6.956321252427071e+06,	1.858198344707489e-01
5.200000060767707e-02,	6.143151703826547e-03,	1.931912820949742e-01,	1.087109152865398e-01,	3.043801705144178e+06,	6.956333294855822e+06,	1.856929063796997e-01
5.300000061936316e-02,	6.336383581490039e-03,	1.932590313538740e-01,	2.808186522318716e-02,	3.043790640199940e+06,	6.956344359800060e+06,	1.856590509414673e-01
5.400000063104926e-02,	6.529644175771451e-03,	1.932499847472799e-01,	-4.493094179932453e-02,	3.043780523028167e+06,	6.956354476971833e+06,	1.857097446918488e-01
5.500000064273536e-02,	6.722860448183920e-03,	1.931716056962713e-01,	-1.106354802757382e-01,	3.043771321335591e+06,	6.956363678664409e+06,	1.858367621898651e-01
5.600000065442146e-02,	6.915966667476883e-03,	1.930310431853222e-01,	-1.693521275499165e-01,	3.043763000677276e+06,	6.956371999322724e+06,	1.860322207212448e-01
5.700000066610755e-02,	7.108904089509138e-03,	1.928351208837901e-01,	-2.214106548101981e-01,	3.043755524857998e+06,	6.956379475142002e+06,	1.862886399030685e-01
