T,V,X,P1,P2,A,F,F1,F2,Q1,Q2,QI,QS,Y,U,DT
1.000009999999487e-02,	9.423995327450871e-01,	2.007822686588176e+00,	7.807776348216692e+05,	1.763947685711438e+06,	3.606899376356758e+01,	4.549298909101844e+01,	3.924616391141000e+03,	3.879123402049982e+03,	4.563252557266362e-03,	-1.995968080043448e-03,	4.563252557266362e-03,	-1.995968080043448e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.100009999998893e-02,	9.776182208235555e-01,	2.008782851166385e+00,	7.805132296734658e+05,	1.764032313015914e+06,	3.420165651418270e+01,	4.397783872241826e+01,	3.923287345927278e+03,	3.879309507204860e+03,	4.563317993306961e-03,	-1.996015962501077e-03,	4.563317993306961e-03,	-1.996015962501077e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.200009999998300e-02,	1.010481577488964e+00,	2.009777137046425e+00,	7.800766084723177e+05,	1.764171873185184e+06,	3.137141661912573e+01,	4.147623239401537e+01,	3.921092648427859e+03,	3.879616416033844e+03,	4.563426048009129e-03,	-1.996094923678048e-03,	4.563426048009129e-03,	-1.996094923678048e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.300009999997706e-02,	1.040070328637249e+00,	2.010802721628218e+00,	7.794821564931654e+05,	1.764361805544188e+06,	2.766980454472823e+01,	3.807050783110071e+01,	3.918104606920164e+03,	3.880034099089063e+03,	4.563573158446301e-03,	-1.996202379712272e-03,	4.563573158446301e-03,	-1.996202379712272e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.400009999997112e-02,	1.065569026041361e+00,	2.011855912945923e+00,	7.787486367194712e+05,	1.764596149973502e+06,	2.321239480006421e+01,	3.386808506047782e+01,	3.914417534444370e+03,	3.880549449383892e+03,	4.563754677783639e-03,	-1.996334954325823e-03,	4.563754677783639e-03,	-1.996334954325823e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.500009999996518e-02,	1.086288346290519e+00,	2.012932264942695e+00,	7.778986009960481e+05,	1.764867732610485e+06,	1.813521470077478e+01,	2.899809816367997e+01,	3.910144788934743e+03,	3.881146690771063e+03,	4.563965021529756e-03,	-1.996488584529118e-03,	4.563965021529756e-03,	-1.996488584529118e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.600009999995924e-02,	1.101683514861861e+00,	2.014026713152640e+00,	7.769576989648234e+05,	1.765168384415436e+06,	1.259060580859523e+01,	2.360744095721384e+01,	3.905415299551961e+03,	3.881807858594747e+03,	4.564197839097408e-03,	-1.996658644936005e-03,	4.564197839097408e-03,	-1.996658644936005e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.700009999995330e-02,	1.111368370035641e+00,	2.015133726661803e+00,	7.759539060176944e+05,	1.765489185976337e+06,	6.742664206332417e+00,	1.785634790668882e+01,	3.900369685950960e+03,	3.882513338044271e+03,	4.564446205352267e-03,	-1.996840086860399e-03,	4.564446205352267e-03,	-1.996840086860399e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.800009999994736e-02,	1.115124713120211e+00,	2.016247471799959e+00,	7.749166935562725e+05,	1.765820731245491e+06,	7.623962791040135e-01,	1.191364341030612e+01,	3.895156087551562e+03,	3.883242444141255e+03,	4.564702826327160e-03,	-1.997027587988563e-03,	4.564702826327160e-03,	-1.997027587988563e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.900009999994142e-02,	1.112906731650595e+00,	2.017361982730935e+00,	7.738761661875941e+05,	1.766153402438118e+06,	-5.177266978519706e+00,	5.951800337986242e+00,	3.889925826611161e+03,	3.883974026273174e+03,	4.564960252961530e-03,	-1.997215708175536e-03,	4.564960252961530e-03,	-1.997215708175536e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.000009999993549e-02,	1.104840426642322e+00,	2.018471333967817e+00,	7.728621910835591e+05,	1.766477648087546e+06,	-1.090645202705564e+01,	1.419522393675834e-01,	3.884829031908001e+03,	3.884687079668633e+03,	4.565211096596391e-03,	-1.997399046803672e-03,	4.565211096596391e-03,	-1.997399046803672e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.100009999992955e-02,	1.091218119356540e+00,	2.019569809842986e+00,	7.719035445895077e+05,	1.766784256248511e+06,	-1.626317826826675e+01,	-5.350997074701354e+00,	3.880010349128079e+03,	3.885361346202780e+03,	4.565448240011694e-03,	-1.997572397165493e-03,	4.565448240011694e-03,	-1.997572397165493e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.200009999992361e-02,	1.072488253196723e+00,	2.020652066108775e+00,	7.710271003055493e+05,	1.767064615066566e+06,	-2.109791023447012e+01,	-1.037302770250290e+01,	3.875604859716832e+03,	3.885977887419335e+03,	4.565665038027925e-03,	-1.997730893487620e-03,	4.565665038027925e-03,	-1.997730893487620e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.300009999991767e-02,	1.049240838358957e+00,	2.021713279127388e+00,	7.702570813247835e+05,	1.767310953378907e+06,	-2.527769980447658e+01,	-1.478529142088701e+01,	3.871734322218542e+03,	3.886519613639429e+03,	4.565855502094098e-03,	-1.997870146489421e-03,	4.565855502094098e-03,	-1.997870146489421e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.400009999991173e-02,	1.022189007063184e+00,	2.022749278516917e+00,	7.696143971558369e+05,	1.767516554664353e+06,	-2.868980524726453e+01,	-1.846791517663269e+01,	3.868503839285523e+03,	3.886971754462156e+03,	4.566014463833041e-03,	-1.997986363757606e-03,	4.566014463833041e-03,	-1.997986363757606e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.500009999990579e-02,	9.921472523885262e-01,	2.023756659642870e+00,	7.691160831576822e+05,	1.767675938497789e+06,	-3.124469035737270e+01,	-2.132321783348743e+01,	3.865999039970236e+03,	3.887322257803723e+03,	4.566137713191896e-03,	-1.998076451703203e-03,	4.566137713191896e-03,	-1.998076451703203e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.600009999989985e-02,	9.600070111945004e-01,	2.024732872962463e+00,	7.687748571602722e+05,	1.767785004659004e+06,	-3.287832586371258e+01,	-2.327825575176757e+01,	3.864283851057550e+03,	3.887562106809318e+03,	4.566222107628597e-03,	-1.998138096432903e-03,	4.566222107628597e-03,	-1.998138096432903e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.700009999989391e-02,	9.267103191560386e-01,	2.025676287924568e+00,	7.685988044313247e+05,	1.767841136170509e+06,	-3.355373610155014e+01,	-2.428663290998975e+01,	3.863398913535114e+03,	3.887685546445104e+03,	4.566265649629673e-03,	-1.998169821497500e-03,	4.566265649629673e-03,	-1.998169821497500e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.800009999988798e-02,	8.932223119914569e-01,	2.026586229882518e+00,	7.685911983806534e+05,	1.767843258755596e+06,	-3.326175601819176e+01,	-2.432953289827719e+01,	3.863360681355035e+03,	3.887690214253312e+03,	4.566267530776425e-03,	-1.998171021155098e-03,	4.566267530776425e-03,	-1.998171021155098e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.900009999988204e-02,	8.605033705492181e-01,	2.027462989262836e+00,	7.687504604750418e+05,	1.767791855485065e+06,	-3.202098632349685e+01,	-2.341595261800467e+01,	3.864161219944062e+03,	3.887577172562067e+03,	4.566228141530279e-03,	-1.998141968489940e-03,	4.566228141530279e-03,	-1.998141968489940e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.000009999987610e-02,	8.294817082025634e-01,	2.028307803034374e+00,	7.690702588763314e+05,	1.767688936677760e+06,	-2.987695736256335e+01,	-2.158214028053771e+01,	3.865768702012690e+03,	3.887350842293228e+03,	4.566149046869226e-03,	-1.998083798438150e-03,	4.566149046869226e-03,	-1.998083798438150e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.100009999987016e-02,	8.010271772579401e-01,	2.029122809311011e+00,	7.695397414196808e+05,	1.767537966401470e+06,	-2.690053447039365e+01,	-1.889026269781425e+01,	3.868128578631601e+03,	3.887018841329415e+03,	4.566032928851540e-03,	-1.997998466472241e-03,	4.566032928851540e-03,	-1.997998466472241e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.200009999989024e-02,	7.759270276983737e-01,	2.029910976678328e+00,	7.701438948202513e+05,	1.767343748148174e+06,	-2.318561857638572e+01,	-1.542634829940198e+01,	3.871165384801368e+03,	3.886591733100769e+03,	4.565883498087305e-03,	-1.997888684368001e-03,	4.565883498087305e-03,	-1.997888684368001e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.300009999991900e-02,	7.548642880078045e-01,	2.030676010537208e+00,	7.708640185329162e+05,	1.767112273398469e+06,	-1.884621510970812e+01,	-1.129757222963008e+01,	3.874785121331116e+03,	3.886082693560746e+03,	4.565705376940309e-03,	-1.997757835104075e-03,	4.565705376940309e-03,	-1.997757835104075e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.399999999994775e-02,	7.384007573596844e-01,	2.031422165548318e+00,	7.716782132371957e+05,	1.766850565243392e+06,	-1.401346463456482e+01,	-6.629457060967979e+00,	3.878877710231572e+03,	3.885507167292540e+03,	4.565503979153074e-03,	-1.997609885018419e-03,	4.565503979153074e-03,	-1.997609885018419e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.499999999997651e-02,	7.269561732953156e-01,	2.032154411825663e+00,	7.725623729396799e+05,	1.766566359916174e+06,	-8.829747328154047e+00,	-1.560185595200892e+00,	3.883321981565686e+03,	3.884882167160887e+03,	4.565285264882773e-03,	-1.997449204313423e-03,	4.565285264882773e-03,	-1.997449204313423e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.600000000000526e-02,	7.208075267136352e-01,	2.032877844927308e+00,	7.734904122355105e+05,	1.766268033992502e+06,	-3.447373694785271e+00,	3.760701572351081e+00,	3.887986815789418e+03,	3.884226114217066e+03,	4.565055684861426e-03,	-1.997280526363644e-03,	4.565055684861426e-03,	-1.997280526363644e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.700000000003402e-02,	7.200756689564114e-01,	2.033597834215400e+00,	7.744353467668487e+05,	1.765964257212067e+06,	1.977743825046618e+00,	9.178500514610732e+00,	3.892736574728263e+03,	3.883558074213652e+03,	4.564821913402931e-03,	-1.997108751778171e-03,	4.564821913402931e-03,	-1.997108751778171e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.800000000006278e-02,	7.247253820755584e-01,	2.034319791832456e+00,	7.753699974296888e+05,	1.765663766130646e+06,	7.290127646519698e+00,	1.453738146727528e+01,	3.897434641306734e+03,	3.882897259839458e+03,	4.564590674337675e-03,	-1.996938820597516e-03,	4.564590674337675e-03,	-1.996938820597516e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.900000000009153e-02,	7.345680429382004e-01,	2.035049017594103e+00,	7.762677690237900e+05,	1.765375113753629e+06,	1.233917290543139e+01,	1.968485333481340e+01,	3.901947333469740e+03,	3.882262480134927e+03,	4.564368548379421e-03,	-1.996775570722868e-03,	4.564368548379421e-03,	-1.996775570722868e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.000000000012029e-02,	7.492686424818217e-01,	2.035790548739077e+00,	7.771034040195347e+05,	1.765106427081405e+06,	1.698339929657867e+01,	2.447608572139688e+01,	3.906147693028015e+03,	3.881671607306618e+03,	4.564161786496721e-03,	-1.996623600632214e-03,	4.564161786496721e-03,	-1.996623600632214e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.100000000014904e-02,	7.683569135579867e-01,	2.036549018778186e+00,	7.778536901299472e+05,	1.764865179406793e+06,	2.109439718424633e+01,	2.877796631982619e+01,	3.909919042302950e+03,	3.881141075983124e+03,	4.563976134581084e-03,	-1.996487140275330e-03,	4.563976134581084e-03,	-1.996487140275330e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.200000000017780e-02,	7.912422057582310e-01,	2.037328529379354e+00,	7.784981018905626e+05,	1.764657983708119e+06,	2.456035813840430e+01,	3.247278019598662e+01,	3.913158209058710e+03,	3.880685428862723e+03,	4.563816674343880e-03,	-1.996369933776725e-03,	4.563816674343880e-03,	-1.996369933776725e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.300000000020655e-02,	8.172316420031475e-01,	2.038132538810985e+00,	7.790193585265032e+05,	1.764490412808388e+06,	2.728909300515594e+01,	3.546140942518741e+01,	3.915778330647965e+03,	3.880316921222778e+03,	4.563687684870593e-03,	-1.996275137207950e-03,	4.563687684870593e-03,	-1.996275137207950e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.400000000023531e-02,	8.455510024063358e-01,	2.038963769955065e+00,	7.794038829620163e+05,	1.764366851144469e+06,	2.921045627823224e+01,	3.766596630229560e+01,	3.917711161245442e+03,	3.880045194943146e+03,	4.563592528628852e-03,	-1.996205234229632e-03,	4.563592528628852e-03,	-1.996205234229632e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.500000000026406e-02,	8.753677084750102e-01,	2.039824140309204e+00,	7.796421498257747e+05,	1.764290382034641e+06,	3.027811343400021e+01,	3.903179051875031e+01,	3.918908821113332e+03,	3.879877030594581e+03,	4.563533564984308e-03,	-1.996161971862690e-03,	4.563533564984308e-03,	-1.996161971862690e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.600000000029282e-02,	9.058152270499094e-01,	2.040714715741075e+00,	7.797289136340313e+05,	1.764262713276532e+06,	3.047060748433948e+01,	3.952875975483857e+01,	3.919344943574908e+03,	3.879816183820069e+03,	4.563512093448760e-03,	-1.996146318043341e-03,	4.563512093448760e-03,	-1.996146318043341e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.700000000032158e-02,	9.360181799219108e-01,	2.041635689059929e+00,	7.796633118919967e+05,	1.764284142783560e+06,	2.979170169394393e+01,	3.915188349316304e+01,	3.919015193258564e+03,	3.879863309765401e+03,	4.563528327993700e-03,	-1.996158441967625e-03,	4.563528327993700e-03,	-1.996158441967625e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
