T,X,V,A,P1,P2,U
9.899909115691301e-01,	2.777959715244608e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.909909115808162e-01,	2.778867858596238e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.919909115925023e-01,	2.779776001947868e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.929908116041872e-01,	2.780684054485163e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.939908116158733e-01,	2.781592197836793e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.949908116275594e-01,	2.782500341188423e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.959908116392455e-01,	2.783408484540053e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.969908116509316e-01,	2.784316627891683e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.979908116626177e-01,	2.785224771243313e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.989908116743038e-01,	2.786132914594943e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
9.999908116859899e-01,	2.787041057946573e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.000990711697675e+00,	2.787949110483868e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.001990811709362e+00,	2.788857344649833e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.002990811721048e+00,	2.789765488001463e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.003990911732735e+00,	2.790673722167428e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.004990911744422e+00,	2.791581865519059e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
