0.000000e+00	0.000000e+00	0.000000e+00	1.676098e+02	3.239024e+01	-1.352195e+02	0.000000e+00	0.000000e+00
3.000000e-03	2.264112e-03	1.282538e-06	1.707901e+02	3.023454e+01	-1.352189e+02	1.110971e-04	2.121213e-02
6.000000e-03	8.625876e-03	1.977900e-05	1.680752e+02	3.187417e+01	-1.352095e+02	1.713245e-03	5.151511e-02
9.000000e-03	1.252842e-02	4.956181e-05	1.703792e+02	3.019065e+01	-1.351943e+02	4.292740e-03	8.181819e-02
1.200000e-02	1.762109e-02	9.613879e-05	1.686175e+02	3.126819e+01	-1.351706e+02	8.326123e-03	1.121213e-01
1.500000e-02	2.235020e-02	1.553484e-04	1.695430e+02	3.056780e+01	-1.351405e+02	1.345228e-02	1.424244e-01
1.800000e-02	2.708499e-02	2.298353e-04	1.690833e+02	3.089116e+01	-1.351027e+02	1.989925e-02	1.727275e-01
2.100000e-02	3.189653e-02	3.181825e-04	1.692416e+02	3.076376e+01	-1.350580e+02	2.754319e-02	2.030305e-01
2.400000e-02	3.665735e-02	4.210519e-04	1.691721e+02	3.082356e+01	-1.350060e+02	3.643999e-02	2.333336e-01
2.700000e-02	4.144639e-02	5.381952e-04	1.691721e+02	3.082460e+01	-1.349469e+02	4.656655e-02	2.636364e-01
3.000000e-02	4.623254e-02	6.697152e-04	1.691484e+02	3.084803e+01	-1.348807e+02	5.792990e-02	2.939391e-01
3.300000e-02	5.102618e-02	8.156011e-04	1.691267e+02	3.086949e+01	-1.348075e+02	7.052704e-02	3.242417e-01
3.600000e-02	5.582596e-02	9.758778e-04	1.691006e+02	3.089551e+01	-1.347273e+02	8.435787e-02	3.545443e-01
3.900000e-02	6.063286e-02	1.150564e-03	1.690716e+02	3.092446e+01	-1.346402e+02	9.942149e-02	3.848470e-01
4.200000e-02	6.544760e-02	1.339683e-03	1.690393e+02	3.095665e+01	-1.345463e+02	1.157172e-01	4.151496e-01
4.500000e-02	7.027085e-02	1.543258e-03	1.690039e+02	3.099198e+01	-1.344455e+02	1.332440e-01	4.454523e-01
4.800000e-02	7.510330e-02	1.761317e-03	1.689654e+02	3.103044e+01	-1.343380e+02	1.520013e-01	4.757549e-01
5.100000e-02	7.994562e-02	1.993888e-03	1.689238e+02	3.107197e+01	-1.342239e+02	1.719881e-01	5.060576e-01
5.400000e-02	8.479844e-02	2.241001e-03	1.688792e+02	3.111657e+01	-1.341032e+02	1.932035e-01	5.363602e-01
5.700000e-02	8.966241e-02	2.502690e-03	1.688315e+02	3.116416e+01	-1.339760e+02	2.156465e-01	5.666628e-01
6.000000e-02	9.453813e-02	2.778987e-03	1.687809e+02	3.121473e+01	-1.338425e+02	2.393162e-01	5.969655e-01
6.300000e-02	9.942622e-02	3.069931e-03	1.687274e+02	3.126823e+01	-1.337026e+02	2.642114e-01	6.272681e-01
6.600000e-02	1.043272e-01	3.375558e-03	1.686710e+02	3.132462e+01	-1.335565e+02	2.903312e-01	6.575708e-01
6.900000e-02	1.092418e-01	3.695908e-03	1.686118e+02	3.138384e+01	-1.334043e+02	3.176743e-01	6.878734e-01
7.200000e-02	1.141704e-01	4.031022e-03	1.685498e+02	3.144586e+01	-1.332460e+02	3.462397e-01	7.181761e-01
7.500000e-02	1.191135e-01	4.380944e-03	1.684850e+02	3.151063e+01	-1.330819e+02	3.760260e-01	7.484787e-01
7.800000e-02	1.240717e-01	4.745718e-03	1.684175e+02	3.157810e+01	-1.329119e+02	4.070321e-01	7.787814e-01
8.100000e-02	1.290455e-01	5.125390e-03	1.683474e+02	3.164822e+01	-1.327363e+02	4.392565e-01	8.090840e-01
8.400000e-02	1.340353e-01	5.520008e-03	1.682747e+02	3.172094e+01	-1.325551e+02	4.726979e-01	8.393866e-01
8.700000e-02	1.390416e-01	5.929619e-03	1.681994e+02	3.179620e+01	-1.323684e+02	5.073549e-01	8.696893e-01
9.000000e-02	1.440648e-01	6.354274e-03	1.681217e+02	3.187396e+01	-1.321764e+02	5.432259e-01	8.999919e-01
9.300000e-02	1.491053e-01	6.794025e-03	1.680415e+02	3.195415e+01	-1.319792e+02	5.803095e-01	9.302945e-01
9.600000e-02	1.541634e-01	7.248924e-03	1.679590e+02	3.203673e+01	-1.317769e+02	6.186039e-01	9.605972e-01
9.900000e-02	1.592396e-01	7.719023e-03	1.678741e+02	3.212162e+01	-1.315696e+02	6.581076e-01	9.908998e-01
1.020000e-01	1.634674e-01	8.203827e-03	1.668858e+02	3.305994e+01	-1.313577e+02	6.987724e-01	1.000000e+00
1.050000e-01	1.648978e-01	8.696787e-03	1.662343e+02	3.374856e+01	-1.311442e+02	7.400445e-01	1.000000e+00
1.080000e-01	1.654263e-01	9.192369e-03	1.660008e+02	3.399178e+01	-1.309315e+02	7.814589e-01	1.000000e+00
1.110000e-01	1.657444e-01	9.689148e-03	1.658660e+02	3.412886e+01	-1.307202e+02	8.228960e-01	1.000000e+00
1.140000e-01	1.660128e-01	1.018679e-02	1.657544e+02	3.424099e+01	-1.305105e+02	8.643283e-01	1.000000e+00
1.170000e-01	1.662681e-01	1.068521e-02	1.656487e+02	3.434684e+01	-1.303023e+02	9.057493e-01	1.000000e+00
1.200000e-01	1.665188e-01	1.118439e-02	1.655450e+02	3.445067e+01	-1.300956e+02	9.471574e-01	1.000000e+00
1.230000e-01	1.667666e-01	1.168432e-02	1.654422e+02	3.455344e+01	-1.298905e+02	9.885519e-01	1.000000e+00
1.260000e-01	1.670121e-01	1.218499e-02	1.653403e+02	3.465537e+01	-1.296870e+02	1.029933e+00	1.000000e+00
