T,X,V,A,U
4.599997951416559e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
4.699997782751700e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
4.799997614086841e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
4.899997445421982e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
4.999997276757123e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.099997108092263e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
5.199996929427404e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
5.299996760762545e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.399996592097686e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
5.499996423432827e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.599996254767968e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
5.699996086103109e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.799995917438250e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
5.899995748773391e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.999995580108532e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.099995401443672e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.199995232778813e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
6.299995067583058e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.399994895857081e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.499995094131134e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
6.599995302405187e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
6.699995500679240e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.799995708953294e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.899995907227346e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
6.999996115501400e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
7.099996313775453e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.199996512049506e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
7.299996720323559e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
7.399996918597612e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.499997126871666e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.599997325145719e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
7.699997533419772e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
7.799997731693825e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.899997939967879e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.999998138241932e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
8.099998336515984e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
8.199998544790038e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
8.299998743064091e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
8.399998951338145e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
8.499999149612197e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
8.599999357886251e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
8.699999556160304e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
8.799999754434357e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
8.899999962708410e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
9.000000160982463e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.100000369256517e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.200000567530570e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
9.300000775804623e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
9.400000974078676e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.500001182352730e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.600001380626783e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
9.700001578900835e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.800001787174889e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.900001985448942e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.000000219372300e-01,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	8.748293234967292e-13
1.010000239199705e-01,	2.000000442691690e+00,	1.317745891029559e-03,	2.591540543828160e+00,	1.450939457170169e-03
1.020000260027110e-01,	2.000003456008569e+00,	5.098377034455838e-03,	4.928837574938370e+00,	5.613837419083363e-03
1.030000279854515e-01,	2.000011378466802e+00,	1.109657603954403e-02,	7.029509109539504e+00,	1.221873400377339e-02
1.040000300681921e-01,	2.000026312127525e+00,	1.908407582452759e-02,	8.910107866540784e+00,	2.101439160460549e-02
1.050000320509326e-01,	2.000050138893602e+00,	2.884867902995651e-02,	1.058623402834928e+01,	3.176722534250029e-02
1.060000340336731e-01,	2.000084536122841e+00,	4.019333485423186e-02,	1.207258326989540e+01,	4.426029517871205e-02
1.070000361164137e-01,	2.000130991328480e+00,	5.293525481023983e-02,	1.338299083953461e+01,	5.829233952211623e-02
1.080000380991542e-01,	2.000190815998193e+00,	6.690506942260269e-02,	1.453047411511216e+01,	7.367685273663291e-02
1.090000401818947e-01,	2.000265158651963e+00,	8.194604064291156e-02,	1.552727454458363e+01,	9.024122298391669e-02
1.100000421646353e-01,	2.000355017037762e+00,	9.791329412574984e-02,	1.638489604749338e+01,	1.078258910549226e-01
1.110000442473758e-01,	2.000461249698564e+00,	1.146731130466884e-01,	1.711414344452351e+01,	1.262835762171207e-01
1.120000462301163e-01,	2.000584586708315e+00,	1.321022440637364e-01,	1.772515778218076e+01,	1.454785147848901e-01
1.130000482128569e-01,	2.000725639886055e+00,	1.500872627399290e-01,	1.822745134269644e+01,	1.652857636193850e-01
1.140000502955974e-01,	2.000884912287098e+00,	1.685239563426973e-01,	1.862994024811633e+01,	1.855905222937185e-01
1.150000522783379e-01,	2.001062807065738e+00,	1.873167378308260e-01,	1.894097591229365e+01,	2.062874892061016e-01
1.160000543610785e-01,	2.001259635945762e+00,	2.063781093761244e-01,	1.916837533054058e+01,	2.272802719102015e-01
1.170000563438190e-01,	2.001475626897334e+00,	2.256281272749077e-01,	1.931944953618222e+01,	2.484807986944959e-01
1.180000584265595e-01,	2.001710931607613e+00,	2.449939251092106e-01,	1.940103117955005e+01,	2.698087940791225e-01
1.190000604093001e-01,	2.001965632143167e+00,	2.644092330920867e-01,	1.941950054204790e+01,	2.911912499166043e-01
1.200000624920406e-01,	2.002239747520391e+00,	2.838139537661268e-01,	1.938081052525376e+01,	3.125619583971602e-01
1.210000644747811e-01,	2.002533239456571e+00,	3.031537310767344e-01,	1.929051039754995e+01,	3.338610376290538e-01
