T,X,V,A,P1,P2,U
8.500000099331828e-02,	2.037240704465666e+00,	6.992767309735815e-01,	1.301061036975449e+00,	8.572941998729080e+06,	1.142719300127092e+07,	1.000000000000000e+00
8.600000100500438e-02,	2.037940619384665e+00,	7.005408875922328e-01,	1.227840431249741e+00,	8.572889645706093e+06,	1.142724535429391e+07,	1.000000000000000e+00
8.700000101669048e-02,	2.038641762432731e+00,	7.017335663071538e-01,	1.158083246017982e+00,	8.572839760543186e+06,	1.142729523945681e+07,	1.000000000000000e+00
8.800000102837657e-02,	2.039344063841810e+00,	7.028581650558072e-01,	1.091658991061326e+00,	8.572792250772415e+06,	1.142734274922759e+07,	1.000000000000000e+00
8.900000104006267e-02,	2.040047457177006e+00,	7.039179527299204e-01,	1.028440081261822e+00,	8.572747025945595e+06,	1.142738797405441e+07,	1.000000000000000e+00
9.000010105174994e-02,	2.040751949700618e+00,	7.049161689557824e-01,	9.682960603526635e-01,	8.572703993504299e+06,	1.142743100649570e+07,	1.000000000000000e+00
9.100010106343603e-02,	2.041457340375104e+00,	7.058556340862625e-01,	9.111174171749958e-01,	8.572663075823985e+06,	1.142747192417601e+07,	1.000000000000000e+00
9.200010107512213e-02,	2.042163642403775e+00,	7.067393507104280e-01,	8.567795763769698e-01,	8.572624184452519e+06,	1.142751081554748e+07,	1.000000000000000e+00
9.300010108680823e-02,	2.042870801439138e+00,	7.075701017412029e-01,	8.051672883803037e-01,	8.572587237563042e+06,	1.142754776243696e+07,	1.000000000000000e+00
9.400010109849433e-02,	2.043578765859585e+00,	7.083505564342762e-01,	7.561684919830902e-01,	8.572552155565768e+06,	1.142758284443423e+07,	1.000000000000000e+00
9.500010111018042e-02,	2.044287486657246e+00,	7.090832735855430e-01,	7.096743306699943e-01,	8.572518861122143e+06,	1.142761613887786e+07,	1.000000000000000e+00
9.600010112186652e-02,	2.044996917329147e+00,	7.097707047395377e-01,	6.655791583276260e-01,	8.572487279151374e+06,	1.142764772084863e+07,	1.000000000000000e+00
9.700010113355262e-02,	2.045707013771597e+00,	7.104151973986482e-01,	6.237805352544720e-01,	8.572457336829843e+06,	1.142767766317016e+07,	1.000000000000000e+00
9.800010114523872e-02,	2.046417734177666e+00,	7.110189982238934e-01,	5.841792157095459e-01,	8.572428963584369e+06,	1.142770603641563e+07,	1.000000000000000e+00
9.900010115692481e-02,	2.047129038938072e+00,	7.115842562189419e-01,	5.466791266789993e-01,	8.572402091079092e+06,	1.142773290892091e+07,	1.000000000000000e+00
1.000001011686109e-01,	2.047840890544979e+00,	7.121130258898248e-01,	5.111873406600592e-01,	8.572376653197967e+06,	1.142775834680203e+07,	1.000000000000000e+00
1.010001011802970e-01,	2.048553253499080e+00,	7.126072703736924e-01,	4.776140413007475e-01,	8.572352586022034e+06,	1.142778241397797e+07,	1.000000000000000e+00
1.020001011919831e-01,	2.049266094219861e+00,	7.130688645306262e-01,	4.458724837907893e-01,	8.572329827802848e+06,	1.142780517219715e+07,	1.000000000000000e+00
1.030001012036692e-01,	2.049979380958821e+00,	7.134995979931690e-01,	4.158789499405293e-01,	8.572308318932032e+06,	1.142782668106797e+07,	1.000000000000000e+00
1.040001012153553e-01,	2.050693083715660e+00,	7.139011781688815e-01,	3.875526994933383e-01,	8.572288001908017e+06,	1.142784699809198e+07,	1.000000000000000e+00
1.050001012270414e-01,	2.051407174157653e+00,	7.142752331919109e-01,	3.608159167772697e-01,	8.572268821299383e+06,	1.142786617870062e+07,	1.000000000000000e+00
1.060001012387275e-01,	2.052121625541741e+00,	7.146233148198871e-01,	3.355936547420295e-01,	8.572250723706260e+06,	1.142788427629374e+07,	1.000000000000000e+00
1.070001012504136e-01,	2.052836412639701e+00,	7.149469012731473e-01,	3.118137758855398e-01,	8.572233657719394e+06,	1.142790134228061e+07,	1.000000000000000e+00
1.080001012620997e-01,	2.053551511665868e+00,	7.152474000136793e-01,	2.894068906289953e-01,	8.572217573877349e+06,	1.142791742612265e+07,	1.000000000000000e+00
1.090001012737858e-01,	2.054266900207763e+00,	7.155261504615408e-01,	2.683062938645566e-01,	8.572202424622316e+06,	1.142793257537768e+07,	1.000000000000000e+00
1.100001012854719e-01,	2.054982557159465e+00,	7.157844266470113e-01,	2.484479001713996e-01,	8.572188164254898e+06,	1.142794683574510e+07,	1.000000000000000e+00
1.110001012971580e-01,	2.055698462657447e+00,	7.160234397969494e-01,	2.297701770683210e-01,	8.572174748887435e+06,	1.142796025111257e+07,	1.000000000000000e+00
1.120001013088441e-01,	2.056414598019084e+00,	7.162443408543259e-01,	2.122140779893225e-01,	8.572162136397077e+06,	1.142797286360292e+07,	1.000000000000000e+00
1.130001013205302e-01,	2.057130945683520e+00,	7.164482229300037e-01,	1.957229737963324e-01,	8.572150286377732e+06,	1.142798471362227e+07,	1.000000000000000e+00
1.140001013322163e-01,	2.057847489155169e+00,	7.166361236862967e-01,	1.802425850792485e-01,	8.572139160092546e+06,	1.142799583990745e+07,	1.000000000000000e+00
1.150001013439024e-01,	2.058564212949292e+00,	7.168090276519374e-01,	1.657209128132967e-01,	8.572128720425136e+06,	1.142800627957486e+07,	1.000000000000000e+00
1.160001013555885e-01,	2.059281102540062e+00,	7.169678684684377e-01,	1.521081700272735e-01,	8.572118931831511e+06,	1.142801606816849e+07,	1.000000000000000e+00
1.170001013672746e-01,	2.059998144310767e+00,	7.171135310678580e-01,	1.393567134572067e-01,	8.572109760291923e+06,	1.142802523970808e+07,	1.000000000000000e+00
1.180001013789607e-01,	2.060715325506183e+00,	7.172468537824178e-01,	1.274209753069375e-01,	8.572101173262764e+06,	1.142803382673724e+07,	1.000000000000000e+00
1.190001013906468e-01,	2.061432634186887e+00,	7.173686303863132e-01,	1.162573962771651e-01,	8.572093139629319e+06,	1.142804186037068e+07,	1.000000000000000e+00
1.200001014023329e-01,	2.062150059185874e+00,	7.174796120704361e-01,	1.058243579821301e-01,	8.572085629658027e+06,	1.142804937034197e+07,	1.000000000000000e+00
1.210001014140190e-01,	2.062867590066775e+00,	7.175805093506852e-01,	9.608211780116313e-02,	8.572078614950484e+06,	1.142805638504952e+07,	1.000000000000000e+00
1.220001014257051e-01,	2.063585217084207e+00,	7.176719939107876e-01,	8.699274331227301e-02,	8.572072068397058e+06,	1.142806293160294e+07,	1.000000000000000e+00
1.230001014373912e-01,	2.064302931145753e+00,	7.177547003805853e-01,	7.852004859197900e-02,	8.572065964131866e+06,	1.142806903586813e+07,	1.000000000000000e+00
1.240001014490772e-01,	2.065020723775856e+00,	7.178292280508634e-01,	7.062953102058414e-02,	8.572060277488012e+06,	1.142807472251199e+07,	1.000000000000000e+00
1.250001014607633e-01,	2.065738587081262e+00,	7.178961425257880e-01,	6.328830992939308e-02,	8.572054984954178e+06,	1.142808001504582e+07,	1.000000000000000e+00
1.260001014724494e-01,	2.066456513718136e+00,	7.179559773143636e-01,	5.646506549579026e-02,	8.572050064131306e+06,	1.142808493586869e+07,	1.000000000000000e+00
1.270001014841355e-01,	2.067174496860741e+00,	7.180092353618946e-01,	5.012998043768481e-02,	8.572045493691295e+06,	1.142808950630870e+07,	1.000000000000000e+00
1.280001014958216e-01,	2.067892530171585e+00,	7.180563905231150e-01,	4.425468152327478e-02,	8.572041253335530e+06,	1.142809374666447e+07,	1.000000000000000e+00
1.290001015075077e-01,	2.068610607773237e+00,	7.180978889780049e-01,	3.881218305883617e-02,	8.572037323754774e+06,	1.142809767624523e+07,	1.000000000000000e+00
1.300001015191938e-01,	2.069328724220993e+00,	7.181341505919517e-01,	3.377683250519675e-02,	8.572033686590610e+06,	1.142810131340939e+07,	1.000000000000000e+00
1.310001015308799e-01,	2.070046874477474e+00,	7.181655702215584e-01,	2.912425603588983e-02,	8.572030324396765e+06,	1.142810467560324e+07,	1.000000000000000e+00
1.320001015425660e-01,	2.070765053888171e+00,	7.181925189675398e-01,	2.483130712795505e-02,	8.572027220602633e+06,	1.142810777939737e+07,	1.000000000000000e+00
1.330001015542521e-01,	2.071483258158326e+00,	7.182153453762568e-01,	2.087601533255951e-02,	8.572024359476862e+06,	1.142811064052314e+07,	1.000000000000000e+00
1.340001015659382e-01,	2.072201483330880e+00,	7.182343765911968e-01,	1.723753715000392e-02,	8.572021726092467e+06,	1.142811327390753e+07,	1.000000000000000e+00
1.350001015776243e-01,	2.072919725765732e+00,	7.182499194560640e-01,	1.389610867863270e-02,	8.572019306293160e+06,	1.142811569370684e+07,	1.000000000000000e+00
1.360001015893104e-01,	2.073637982119870e+00,	7.182622615707449e-01,	1.083299870114527e-02,	8.572017086660007e+06,	1.142811791333999e+07,	1.000000000000000e+00
1.370001016009965e-01,	2.074356249328726e+00,	7.182716723017540e-01,	8.030464264092957e-03,	8.572015054479828e+06,	1.142811994552017e+07,	1.000000000000000e+00
1.380001016126826e-01,	2.075074524588359e+00,	7.182784037485634e-01,	5.471707175918150e-03,	8.572013197714262e+06,	1.142812180228574e+07,	1.000000000000000e+00
1.390001016243687e-01,	2.075792805338678e+00,	7.182826916672345e-01,	3.140831914396667e-03,	8.572011504969798e+06,	1.142812349503020e+07,	1.000000000000000e+00
1.400002016360560e-01,	2.076511161076038e+00,	7.182847564551270e-01,	1.022603690416666e-03,	8.572009965322495e+06,	1.142812503467751e+07,	1.000000000000000e+00
1.410002016477421e-01,	2.077229446024220e+00,	7.182848033923789e-01,	-8.967651438775466e-04,	8.572008568890283e+06,	1.142812643110972e+07,	1.000000000000000e+00
1.420002016594282e-01,	2.077947730091130e+00,	7.182830246539990e-01,	-2.630921470975210e-03,	8.572007305883985e+06,	1.142812769411601e+07,	1.000000000000000e+00
1.430002016711143e-01,	2.078666011541496e+00,	7.182795990536698e-01,	-4.192541113953526e-03,	8.572006167211210e+06,	1.142812883278879e+07,	1.000000000000000e+00
1.440002016828004e-01,	2.079384288812692e+00,	7.182746930890338e-01,	-5.593585974814000e-03,	8.572005144290030e+06,	1.142812985570997e+07,	1.000000000000000e+00
1.450002016944865e-01,	2.080102560502743e+00,	7.182684616385477e-01,	-6.845338195501672e-03,	8.572004229024632e+06,	1.142813077097537e+07,	1.000000000000000e+00
1.460002017061726e-01,	2.080820825359013e+00,	7.182610486251285e-01,	-7.958431976398901e-03,	8.572003413782652e+06,	1.142813158621735e+07,	1.000000000000000e+00
1.470002017178587e-01,	2.081539082267578e+00,	7.182525876479614e-01,	-8.942885574639584e-03,	8.572002691372357e+06,	1.142813230862764e+07,	1.000000000000000e+00
1.480002017295448e-01,	2.082257330243180e+00,	7.182432025835883e-01,	-9.808131057098143e-03,	8.572002055021431e+06,	1.142813294497857e+07,	1.000000000000000e+00
1.490002017412309e-01,	2.082975568419835e+00,	7.182330081575822e-01,	-1.056304298903608e-02,	8.572001498356514e+06,	1.142813350164349e+07,	1.000000000000000e+00
1.500002017529170e-01,	2.083693796041966e+00,	7.182221104879594e-01,	-1.121596642290685e-02,	8.572001015383245e+06,	1.142813398461675e+07,	1.000000000000000e+00
1.510002017646030e-01,	2.084412012455961e+00,	7.182106076013977e-01,	-1.177474324933704e-02,	8.572000600467453e+06,	1.142813439953255e+07,	1.000000000000000e+00
1.520002017762891e-01,	2.085130217102444e+00,	7.181985899234712e-01,	-1.224673808154630e-02,	8.572000248316696e+06,	1.142813475168330e+07,	1.000000000000000e+00
1.530002017879752e-01,	2.085848409508841e+00,	7.181861407438606e-01,	-1.263886196734245e-02,	8.571999953963330e+06,	1.142813504603667e+07,	1.000000000000000e+00
1.540002017996613e-01,	2.086566589282483e+00,	7.181733366577513e-01,	-1.295759668917774e-02,	8.571999712747162e+06,	1.142813528725284e+07,	1.000000000000000e+00
1.550002018113474e-01,	2.087284756104140e+00,	7.181602479842569e-01,	-1.320901630857886e-02,	8.571999520300079e+06,	1.142813547969992e+07,	1.000000000000000e+00
1.560002018230335e-01,	2.088002909721913e+00,	7.181469391629811e-01,	-1.339880923059810e-02,	8.571999372530278e+06,	1.142813562746972e+07,	1.000000000000000e+00
1.570002018347196e-01,	2.088721049945570e+00,	7.181334691295839e-01,	-1.353229830481998e-02,	8.571999265607916e+06,	1.142813573439208e+07,	1.000000000000000e+00
1.580002018464057e-01,	2.089439176641205e+00,	7.181198916713794e-01,	-1.361446054242696e-02,	8.571999195951024e+06,	1.142813580404898e+07,	1.000000000000000e+00
1.590002018580918e-01,	2.090157289726266e+00,	7.181062557637033e-01,	-1.364994591958306e-02,	8.571999160212079e+06,	1.142813583978792e+07,	1.000000000000000e+00
1.600002018697779e-01,	2.090875389164907e+00,	7.180926058880936e-01,	-1.364309499497470e-02,	8.571999155265395e+06,	1.142813584473461e+07,	1.000000000000000e+00
1.610002018814640e-01,	2.091593474963641e+00,	7.180789823329427e-01,	-1.359795628435103e-02,	8.571999178194731e+06,	1.142813582180527e+07,	1.000000000000000e+00
1.620002018931501e-01,	2.092311547167292e+00,	7.180654214775724e-01,	-1.351830192920021e-02,	8.571999226282077e+06,	1.142813577371792e+07,	1.000000000000000e+00
1.630002019048362e-01,	2.093029605855224e+00,	7.180519560603594e-01,	-1.340764431312803e-02,	8.571999296995759e+06,	1.142813570300424e+07,	1.000000000000000e+00
1.640002019165223e-01,	2.093747651137831e+00,	7.180386154318125e-01,	-1.326924931996856e-02,	8.571999387980988e+06,	1.142813561201901e+07,	1.000000000000000e+00
1.650002019282084e-01,	2.094465683153239e+00,	7.180254257931976e-01,	-1.310615160393964e-02,	8.571999497048918e+06,	1.142813550295108e+07,	1.000000000000000e+00
