t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-1.6700000000e-02,	2.5000000000e+00,	6.0000000000e+02,	4.5000000000e+02,	3.0000000000e+00
1.0000000000e-04,	-1.6398413711e-02,	2.4999983451e+00,	6.0033013460e+02,	4.4877009035e+02,	3.0312008851e+00
2.0000000000e-04,	-1.6093864118e-02,	2.4999967204e+00,	6.0059262653e+02,	4.4762897963e+02,	3.0592729381e+00
3.0000000000e-04,	-1.5786662047e-02,	2.4999951264e+00,	6.0078794291e+02,	4.4657507820e+02,	3.0842572941e+00
4.0000000000e-04,	-1.5477114200e-02,	2.4999935632e+00,	6.0091660384e+02,	4.4560683287e+02,	3.1061954196e+00
5.0000000000e-04,	-1.5165523106e-02,	2.4999920310e+00,	6.0097918186e+02,	4.4472271746e+02,	3.1251292879e+00
6.0000000000e-04,	-1.4852187065e-02,	2.4999905301e+00,	6.0097630124e+02,	4.4392122502e+02,	3.1411015242e+00
7.0000000000e-04,	-1.4537400077e-02,	2.4999890606e+00,	6.0090863736e+02,	4.4320086106e+02,	3.1541555259e+00
8.0000000000e-04,	-1.4221451759e-02,	2.4999876227e+00,	6.0077691598e+02,	4.4256013791e+02,	3.1643355614e+00
9.0000000000e-04,	-1.3904627257e-02,	2.4999862164e+00,	6.0058191250e+02,	4.4199756993e+02,	3.1716868512e+00
1.0000000000e-03,	-1.3587207141e-02,	2.4999848418e+00,	6.0032445112e+02,	4.4151166942e+02,	3.1762556340e+00
1.1000000000e-03,	-1.3269467305e-02,	2.4999834989e+00,	6.0000540408e+02,	4.4110094315e+02,	3.1780892187e+00
1.2000000000e-03,	-1.2951678857e-02,	2.4999821879e+00,	5.9962569073e+02,	4.4076388948e+02,	3.1772360250e+00
1.3000000000e-03,	-1.2634108008e-02,	2.4999809086e+00,	5.9918627664e+02,	4.4049899590e+02,	3.1737456148e+00
1.4000000000e-03,	-1.2317015952e-02,	2.4999796610e+00,	5.9868817266e+02,	4.4030473700e+02,	3.1676687132e+00
1.5000000000e-03,	-1.2000658753e-02,	2.4999784452e+00,	5.9813243393e+02,	4.4017957278e+02,	3.1590572228e+00
1.6000000000e-03,	-1.1685287226e-02,	2.4999772609e+00,	5.9752015884e+02,	4.4012194733e+02,	3.1479642303e+00
1.7000000000e-03,	-1.1371146816e-02,	2.4999761081e+00,	5.9685248800e+02,	4.4013028766e+02,	3.1344440068e+00
1.8000000000e-03,	-1.1058477485e-02,	2.4999749866e+00,	5.9613060314e+02,	4.4020300297e+02,	3.1185520032e+00
1.9000000000e-03,	-1.0747513589e-02,	2.4999738963e+00,	5.9535572594e+02,	4.4033848397e+02,	3.1003448394e+00
2.0000000000e-03,	-1.0438483764e-02,	2.4999728370e+00,	5.9452911694e+02,	4.4053510246e+02,	3.0798802896e+00
2.1000000000e-03,	-1.0131610815e-02,	2.4999718085e+00,	5.9365207429e+02,	4.4079121113e+02,	3.0572172631e+00
2.2000000000e-03,	-9.8271115949e-03,	2.4999708106e+00,	5.9272593255e+02,	4.4110514347e+02,	3.0324157817e+00
2.3000000000e-03,	-9.5251969044e-03,	2.4999698430e+00,	5.9175206146e+02,	4.4147521382e+02,	3.0055369527e+00
2.4000000000e-03,	-9.2260713783e-03,	2.4999689055e+00,	5.9073186457e+02,	4.4189971759e+02,	2.9766429397e+00
2.5000000000e-03,	-8.9299333841e-03,	2.4999679977e+00,	5.8966677804e+02,	4.4237693157e+02,	2.9457969296e+00
2.6000000000e-03,	-8.6369749208e-03,	2.4999671194e+00,	5.8855826923e+02,	4.4290511436e+02,	2.9130630975e+00
2.7000000000e-03,	-8.3473815222e-03,	2.4999662702e+00,	5.8740783535e+02,	4.4348250691e+02,	2.8785065689e+00
2.8000000000e-03,	-8.0613321634e-03,	2.4999654498e+00,	5.8621700209e+02,	4.4410733313e+02,	2.8421933792e+00
2.9000000000e-03,	-7.7789991725e-03,	2.4999646578e+00,	5.8498732217e+02,	4.4477780057e+02,	2.8041904320e+00
3.0000000000e-03,	-7.5005481455e-03,	2.4999638939e+00,	5.8372037396e+02,	4.4549210126e+02,	2.7645654541e+00
