t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-1.6700000000e-02,	2.5000000000e+00,	7.5000000000e+02,	3.0000000000e+02,	9.0000000000e+00
1.0000000000e-04,	-1.5802483060e-02,	2.4999983749e+00,	7.4847100031e+02,	3.0101192315e+02,	8.9491815432e+00
2.0000000000e-04,	-1.4910393178e-02,	2.4999968393e+00,	7.4677179337e+02,	3.0219786085e+02,	8.8914786504e+00
3.0000000000e-04,	-1.4024412772e-02,	2.4999953926e+00,	7.4490530423e+02,	3.0355467016e+02,	8.8270126814e+00
4.0000000000e-04,	-1.3145211869e-02,	2.4999940342e+00,	7.4287458763e+02,	3.0507908424e+02,	8.7559100679e+00
5.0000000000e-04,	-1.2273447604e-02,	2.4999927633e+00,	7.4068282580e+02,	3.0676771408e+02,	8.6783022345e+00
6.0000000000e-04,	-1.1409763724e-02,	2.4999915793e+00,	7.3833332602e+02,	3.0861705024e+02,	8.5943255156e+00
7.0000000000e-04,	-1.0554790097e-02,	2.4999904811e+00,	7.3582951818e+02,	3.1062346483e+02,	8.5041210671e+00
8.0000000000e-04,	-9.7091422436e-03,	2.4999894680e+00,	7.3317495221e+02,	3.1278321352e+02,	8.4078347739e+00
9.0000000000e-04,	-8.8734208587e-03,	2.4999885389e+00,	7.3037329537e+02,	3.1509243772e+02,	8.3056171530e+00
1.0000000000e-03,	-8.0482113605e-03,	2.4999876930e+00,	7.2742832951e+02,	3.1754716684e+02,	8.1976232534e+00
1.1000000000e-03,	-7.2340834395e-03,	2.4999869289e+00,	7.2434394824e+02,	3.2014332065e+02,	8.0840125518e+00
1.2000000000e-03,	-6.4315906217e-03,	2.4999862457e+00,	7.2112415394e+02,	3.2287671167e+02,	7.9649488453e+00
1.3000000000e-03,	-5.6412698416e-03,	2.4999856422e+00,	7.1777305482e+02,	3.2574304774e+02,	7.8406001415e+00
1.4000000000e-03,	-4.8636410275e-03,	2.4999851171e+00,	7.1429486179e+02,	3.2873793452e+02,	7.7111385454e+00
1.5000000000e-03,	-4.0992066970e-03,	2.4999846690e+00,	7.1069388539e+02,	3.3185687817e+02,	7.5767401443e+00
1.6000000000e-03,	-3.3484515646e-03,	2.4999842968e+00,	7.0697453252e+02,	3.3509528796e+02,	7.4375848911e+00
1.7000000000e-03,	-2.6118421612e-03,	2.4999839989e+00,	7.0314130327e+02,	3.3844847900e+02,	7.2938564854e+00
1.8000000000e-03,	-1.8898264656e-03,	2.4999837739e+00,	6.9919878760e+02,	3.4191167489e+02,	7.1457422542e+00
1.9000000000e-03,	-1.1828335472e-03,	2.4999836204e+00,	6.9515166206e+02,	3.4548001050e+02,	6.9934330312e+00
