t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-8.3500000000e-02,	2.5000000000e+00,	7.5000000000e+02,	4.0000000000e+02,	7.0000000000e+00
1.0000000000e-04,	-8.2773501487e-02,	2.4999916859e+00,	7.6231652622e+02,	3.8592359076e+02,	7.5278587092e+00
2.0000000000e-04,	-8.1994849938e-02,	2.4999834470e+00,	7.7435955302e+02,	3.7220630656e+02,	8.0430649292e+00
3.0000000000e-04,	-8.1165310272e-02,	2.4999752886e+00,	7.8612355511e+02,	3.5884272653e+02,	8.5456165716e+00
4.0000000000e-04,	-8.0286149946e-02,	2.4999672156e+00,	7.9760299302e+02,	3.4582961563e+02,	9.0354675479e+00
5.0000000000e-04,	-7.9358642662e-02,	2.4999592330e+00,	8.0879234985e+02,	3.3316530825e+02,	9.5125408320e+00
6.0000000000e-04,	-7.8384070982e-02,	2.4999513455e+00,	8.1968616272e+02,	3.2084928667e+02,	9.9767375211e+00
7.0000000000e-04,	-7.7363728174e-02,	2.4999435577e+00,	8.3027905005e+02,	3.0888188122e+02,	1.0427943377e+01
8.0000000000e-04,	-7.6298919484e-02,	2.4999358742e+00,	8.4056573528e+02,	2.9726405030e+02,	1.0866033700e+01
9.0000000000e-04,	-7.5190962995e-02,	2.4999282994e+00,	8.5054106769e+02,	2.8599721446e+02,	1.1290877065e+01
1.0000000000e-03,	-7.4041190142e-02,	2.4999208374e+00,	8.6020004087e+02,	2.7508312850e+02,	1.1702338247e+01
1.1000000000e-03,	-7.2850945975e-02,	2.4999134925e+00,	8.6953780905e+02,	2.6452378093e+02,	1.2100280562e+01
1.2000000000e-03,	-7.1621589203e-02,	2.4999062685e+00,	8.7854970174e+02,	2.5432131352e+02,	1.2484567764e+01
1.3000000000e-03,	-7.0354492071e-02,	2.4998991694e+00,	8.8723123679e+02,	2.4447795607e+02,	1.2855065614e+01
1.4000000000e-03,	-6.9051040094e-02,	2.4998921988e+00,	8.9557813221e+02,	2.3499597274e+02,	1.3211643189e+01
1.5000000000e-03,	-6.7712631665e-02,	2.4998853604e+00,	9.0358631684e+02,	2.2587761744e+02,	1.3554173988e+01
1.6000000000e-03,	-6.6340677567e-02,	2.4998786574e+00,	9.1125193989e+02,	2.1712509637e+02,	1.3882536870e+01
1.7000000000e-03,	-6.4936600395e-02,	2.4998720933e+00,	9.1857137970e+02,	2.0874053621e+02,	1.4196616870e+01
1.8000000000e-03,	-6.3501833901e-02,	2.4998656711e+00,	9.2554125164e+02,	2.0072595709e+02,	1.4496305891e+01
1.9000000000e-03,	-6.2037822278e-02,	2.4998593939e+00,	9.3215841522e+02,	1.9308324917e+02,	1.4781503321e+01
2.0000000000e-03,	-6.0546019385e-02,	2.4998532645e+00,	9.3841998059e+02,	1.8581415257e+02,	1.5052116560e+01
2.1000000000e-03,	-5.9027887920e-02,	2.4998472856e+00,	9.4432331437e+02,	1.7892023978e+02,	1.5308061492e+01
2.2000000000e-03,	-5.7484898549e-02,	2.4998414597e+00,	9.4986604495e+02,	1.7240290045e+02,	1.5549262890e+01
2.3000000000e-03,	-5.5918529002e-02,	2.4998357894e+00,	9.5504606719e+02,	1.6626332801e+02,	1.5775654784e+01
2.4000000000e-03,	-5.4330263133e-02,	2.4998302768e+00,	9.5986154669e+02,	1.6050250797e+02,	1.5987180774e+01
