t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	8.3500000000e-02,	2.5000000000e+00,	5.0000000000e+02,	7.0000000000e+02,	-4.0000000000e+00
1.0000000000e-04,	8.3070445982e-02,	2.5000083290e+00,	4.8352287112e+02,	7.1285671178e+02,	-4.5866768131e+00
2.0000000000e-04,	8.2583313361e-02,	2.5000166122e+00,	4.6782241707e+02,	7.2548223756e+02,	-5.1531964097e+00
3.0000000000e-04,	8.2040320618e-02,	2.5000248438e+00,	4.5265935094e+02,	7.3787107172e+02,	-5.7042344156e+00
4.0000000000e-04,	8.1442933020e-02,	2.5000330184e+00,	4.3795486288e+02,	7.5001758700e+02,	-6.2412544823e+00
5.0000000000e-04,	8.0792512815e-02,	2.5000411306e+00,	4.2366749352e+02,	7.6191606833e+02,	-6.7649714964e+00
6.0000000000e-04,	8.0090369152e-02,	2.5000491752e+00,	4.0977225927e+02,	7.7356075181e+02,	-7.2757698507e+00
7.0000000000e-04,	7.9337782516e-02,	2.5000571470e+00,	3.9625313416e+02,	7.8494586099e+02,	-7.7738545367e+00
8.0000000000e-04,	7.8536018752e-02,	2.5000650411e+00,	3.8309955382e+02,	7.9606563938e+02,	-8.2593217112e+00
9.0000000000e-04,	7.7686337854e-02,	2.5000728526e+00,	3.7030453320e+02,	8.0691437906e+02,	-8.7321969171e+00
1.0000000000e-03,	7.6789999805e-02,	2.5000805768e+00,	3.5786354906e+02,	8.1748644593e+02,	-9.1924579374e+00
1.1000000000e-03,	7.5848268558e-02,	2.5000882091e+00,	3.4577382823e+02,	8.2777630202e+02,	-9.6400494758e+00
1.2000000000e-03,	7.4862414822e-02,	2.5000957450e+00,	3.3403386945e+02,	8.3777852526e+02,	-1.0074893116e+01
1.3000000000e-03,	7.3833718002e-02,	2.5001031802e+00,	3.2264310815e+02,	8.4748782708e+02,	-1.0496894379e+01
1.4000000000e-03,	7.2763467530e-02,	2.5001105104e+00,	3.1160167340e+02,	8.5689906817e+02,	-1.0905947895e+01
