t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	6.6800000000e-02,	2.5000000000e+00,	7.5000000000e+02,	3.0000000000e+02,	9.0000000000e+00
1.0000000000e-04,	6.7662904970e-02,	2.5000067238e+00,	7.3119169972e+02,	3.1828083761e+02,	8.2582172421e+00
2.0000000000e-04,	6.8451683097e-02,	2.5000135301e+00,	7.1240395529e+02,	3.3652269544e+02,	7.5176251970e+00
3.0000000000e-04,	6.9166502741e-02,	2.5000204116e+00,	6.9366016297e+02,	3.5469932790e+02,	6.7792167014e+00
4.0000000000e-04,	6.9807633852e-02,	2.5000273610e+00,	6.7498454002e+02,	3.7278290480e+02,	6.0440327045e+00
5.0000000000e-04,	7.0375453466e-02,	2.5000343707e+00,	6.5640232880e+02,	3.9074347863e+02,	5.3131770033e+00
6.0000000000e-04,	7.0870453031e-02,	2.5000414336e+00,	6.3794008697e+02,	4.0854815611e+02,	4.5878386172e+00
7.0000000000e-04,	7.1293248572e-02,	2.5000485424e+00,	6.1962611207e+02,	4.2615973160e+02,	3.8693276094e+00
8.0000000000e-04,	7.1644595578e-02,	2.5000556899e+00,	6.0149108643e+02,	4.4353424163e+02,	3.1591368962e+00
9.0000000000e-04,	7.1925412541e-02,	2.5000628690e+00,	5.8356910730e+02,	4.6061603176e+02,	2.4590615107e+00
1.0000000000e-03,	7.2136822839e-02,	2.5000700727e+00,	5.6589944765e+02,	4.7732565372e+02,	1.7714758786e+00
1.1000000000e-03,	7.2280248812e-02,	2.5000772941e+00,	5.4852987139e+02,	4.9351513847e+02,	1.1002946584e+00
1.2000000000e-03,	7.2357963854e-02,	2.5000845265e+00,	5.3152385415e+02,	5.0842508448e+02,	4.6197539328e-01
1.3000000000e-03,	7.2373592851e-02,	2.5000917636e+00,	5.1498104753e+02,	5.2226910721e+02,	-1.4576119369e-01
1.4000000000e-03,	7.2329580603e-02,	2.5000989992e+00,	4.9918763187e+02,	5.3564888475e+02,	-7.2922505747e-01
1.5000000000e-03,	7.2229247900e-02,	2.5001062276e+00,	4.8499546372e+02,	5.4866650500e+02,	-1.2734208257e+00
1.6000000000e-03,	7.2075510178e-02,	2.5001134433e+00,	4.7143380428e+02,	5.6136961166e+02,	-1.7987161477e+00
1.7000000000e-03,	7.1869982120e-02,	2.5001206410e+00,	4.5830399167e+02,	5.7378530271e+02,	-2.3096262207e+00
1.8000000000e-03,	7.1614005996e-02,	2.5001278156e+00,	4.4553617025e+02,	5.8593023917e+02,	-2.8078813784e+00
1.9000000000e-03,	7.1308795594e-02,	2.5001349622e+00,	4.3309335444e+02,	5.9781497189e+02,	-3.2944323490e+00
2.0000000000e-03,	7.0955490165e-02,	2.5001420758e+00,	4.2095328410e+02,	6.0944614773e+02,	-3.7698572727e+00
2.1000000000e-03,	7.0555182732e-02,	2.5001491517e+00,	4.0910177032e+02,	6.2082776999e+02,	-4.2345199935e+00
2.2000000000e-03,	7.0108937220e-02,	2.5001561853e+00,	3.9752957394e+02,	6.3196197840e+02,	-4.6886480893e+00
2.3000000000e-03,	6.9617799686e-02,	2.5001631720e+00,	3.8623071618e+02,	6.4284956149e+02,	-5.1323769063e+00
2.4000000000e-03,	6.9082806087e-02,	2.5001701074e+00,	3.7520147258e+02,	6.5349030914e+02,	-5.5657767312e+00
2.5000000000e-03,	6.8504987831e-02,	2.5001769871e+00,	3.6443973095e+02,	6.6388326439e+02,	-5.9888706687e+00
2.6000000000e-03,	6.7885375845e-02,	2.5001838070e+00,	3.5394455941e+02,	6.7402690898e+02,	-6.4016469915e+00
2.7000000000e-03,	6.7225003589e-02,	2.5001905628e+00,	3.4371590344e+02,	6.8391930366e+02,	-6.8040680044e+00
2.8000000000e-03,	6.6524909309e-02,	2.5001972507e+00,	3.3375436606e+02,	6.9355819658e+02,	-7.1960766105e+00
2.9000000000e-03,	6.5786137719e-02,	2.5002038665e+00,	3.2406104370e+02,	7.0294110878e+02,	-7.5776013014e+00
3.0000000000e-03,	6.5009741239e-02,	2.5002104066e+00,	3.1463740084e+02,	7.1206540265e+02,	-7.9485600361e+00
3.1000000000e-03,	6.4196780888e-02,	2.5002168673e+00,	3.0548517208e+02,	7.2092833766e+02,	-8.3088633116e+00
3.2000000000e-03,	6.3348326905e-02,	2.5002232448e+00,	2.9660628444e+02,	7.2952711627e+02,	-8.6584166367e+00
3.3000000000e-03,	6.2465459140e-02,	2.5002295358e+00,	2.8800279465e+02,	7.3785892220e+02,	-8.9971225510e+00
3.4000000000e-03,	6.1549267267e-02,	2.5002357368e+00,	2.7967683786e+02,	7.4592095267e+02,	-9.3248822961e+00
3.5000000000e-03,	6.0600850843e-02,	2.5002418446e+00,	2.7163058518e+02,	7.5371044586e+02,	-9.6415972137e+00
3.6000000000e-03,	5.9621319234e-02,	2.5002478559e+00,	2.6386620812e+02,	7.6122470440e+02,	-9.9471699257e+00
3.7000000000e-03,	5.8611791438e-02,	2.5002537678e+00,	2.5638584863e+02,	7.6846111571e+02,	-1.0241505342e+01
3.8000000000e-03,	5.7573395811e-02,	2.5002595773e+00,	2.4919159349e+02,	7.7541716964e+02,	-1.0524511523e+01
3.9000000000e-03,	5.6507269714e-02,	2.5002652816e+00,	2.4228545235e+02,	7.8209047387e+02,	-1.0796100431e+01
4.0000000000e-03,	5.5414559089e-02,	2.5002708779e+00,	2.3566933880e+02,	7.8847876755e+02,	-1.1056188575e+01
4.1000000000e-03,	5.4296417976e-02,	2.5002763636e+00,	2.2934505390e+02,	7.9457993314e+02,	-1.1304697585e+01
4.2000000000e-03,	5.3154007975e-02,	2.5002817364e+00,	2.2331427176e+02,	8.0039200705e+02,	-1.1541554706e+01
4.3000000000e-03,	5.1988497662e-02,	2.5002869937e+00,	2.1757852702e+02,	8.0591318897e+02,	-1.1766693239e+01
4.4000000000e-03,	5.0801061963e-02,	2.5002921333e+00,	2.1213920371e+02,	8.1114185020e+02,	-1.1980052930e+01
4.5000000000e-03,	4.9592881494e-02,	2.5002971532e+00,	2.0699752557e+02,	8.1607654103e+02,	-1.2181580309e+01
4.6000000000e-03,	4.8365141866e-02,	2.5003020513e+00,	2.0215454739e+02,	8.2071599727e+02,	-1.2371228998e+01
4.7000000000e-03,	4.7119032960e-02,	2.5003068256e+00,	1.9761114749e+02,	8.2505914613e+02,	-1.2548959973e+01
