t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	6.6800000000e-02,	2.5000000000e+00,	6.0000000000e+02,	3.0000000000e+02,	6.0000000000e+00
1.0000000000e-04,	6.7364781085e-02,	2.5000067088e+00,	5.8307192828e+02,	3.1824988423e+02,	5.2964408809e+00
2.0000000000e-04,	6.7859473094e-02,	2.5000134706e+00,	5.6632166918e+02,	3.3639992870e+02,	4.5984348096e+00
3.0000000000e-04,	6.8284699461e-02,	2.5000202784e+00,	5.4979463423e+02,	3.5442561058e+02,	3.9073804730e+00
4.0000000000e-04,	6.8641236821e-02,	2.5000271253e+00,	5.3354973948e+02,	3.7230106625e+02,	3.2249734646e+00
5.0000000000e-04,	6.8930057943e-02,	2.5000340044e+00,	5.1767507761e+02,	3.8999863384e+02,	2.5535288754e+00
6.0000000000e-04,	6.9152443871e-02,	2.5000409091e+00,	5.0235997756e+02,	4.0748815423e+02,	1.8974364667e+00
7.0000000000e-04,	6.9310805271e-02,	2.5000478327e+00,	4.8850155252e+02,	4.2473588986e+02,	1.2753132532e+00
8.0000000000e-04,	6.9408129464e-02,	2.5000547692e+00,	4.7538906664e+02,	4.4170269094e+02,	6.7372751395e-01
9.0000000000e-04,	6.9446033694e-02,	2.5000617124e+00,	4.6267546249e+02,	4.5833974351e+02,	8.6714379654e-02
1.0000000000e-03,	6.9425949385e-02,	2.5000686565e+00,	4.5028209290e+02,	4.7457896723e+02,	-4.8593748668e-01
1.1000000000e-03,	6.9349373932e-02,	2.5000755957e+00,	4.3817016829e+02,	4.9030246710e+02,	-1.0426459762e+00
1.2000000000e-03,	6.9218230866e-02,	2.5000825245e+00,	4.2631748000e+02,	5.0496277865e+02,	-1.5729059731e+00
1.3000000000e-03,	6.9035850813e-02,	2.5000894376e+00,	4.1471033279e+02,	5.1829479938e+02,	-2.0716893317e+00
1.4000000000e-03,	6.8804403094e-02,	2.5000963301e+00,	4.0333994970e+02,	5.3108923387e+02,	-2.5549856836e+00
1.5000000000e-03,	6.8525278859e-02,	2.5001031969e+00,	3.9220087552e+02,	5.4347526336e+02,	-3.0254877568e+00
1.6000000000e-03,	6.8199692114e-02,	2.5001100336e+00,	3.8128996180e+02,	5.5550880962e+02,	-3.4843769564e+00
1.7000000000e-03,	6.7828768348e-02,	2.5001168354e+00,	3.7060570552e+02,	5.6722128192e+02,	-3.9323115280e+00
1.8000000000e-03,	6.7413581563e-02,	2.5001235978e+00,	3.6014780628e+02,	5.7863223251e+02,	-4.3696885246e+00
1.9000000000e-03,	6.6955174327e-02,	2.5001303166e+00,	3.4991685754e+02,	5.8975444653e+02,	-4.7967517798e+00
2.0000000000e-03,	6.6454570082e-02,	2.5001369875e+00,	3.3991412382e+02,	6.0059645345e+02,	-5.2136465926e+00
2.1000000000e-03,	6.5912781300e-02,	2.5001436062e+00,	3.3014137534e+02,	6.1116393170e+02,	-5.6204511273e+00
2.2000000000e-03,	6.5330815139e-02,	2.5001501687e+00,	3.2060076214e+02,	6.2146056487e+02,	-6.0171960546e+00
2.3000000000e-03,	6.4709677506e-02,	2.5001566710e+00,	3.1129471620e+02,	6.3148859777e+02,	-6.4038776313e+00
2.4000000000e-03,	6.4050376005e-02,	2.5001631093e+00,	3.0222587402e+02,	6.4124921576e+02,	-6.7804668348e+00
2.5000000000e-03,	6.3353922126e-02,	2.5001694799e+00,	2.9339701419e+02,	6.5074281368e+02,	-7.1469159898e+00
2.6000000000e-03,	6.2621332844e-02,	2.5001757789e+00,	2.8481100653e+02,	6.5996919277e+02,	-7.5031637248e+00
2.7000000000e-03,	6.1853631796e-02,	2.5001820030e+00,	2.7647076997e+02,	6.6892770877e+02,	-7.8491387759e+00
2.8000000000e-03,	6.1051850112e-02,	2.5001881485e+00,	2.6837923735e+02,	6.7761738579e+02,	-8.1847629689e+00
2.9000000000e-03,	6.0217026984e-02,	2.5001942122e+00,	2.6053932559e+02,	6.8603700563e+02,	-8.5099536009e+00
3.0000000000e-03,	5.9350210019e-02,	2.5002001909e+00,	2.5295391038e+02,	6.9418517904e+02,	-8.8246253733e+00
