t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	0.0000000000e+00,	2.5000000000e+00,	5.0000000000e+02,	2.5000000000e+02,	5.0000000000e+00
1.0000000000e-04,	4.9504752803e-04,	2.5000000248e+00,	4.9997363112e+02,	2.5494386822e+02,	4.9005952581e+00
2.0000000000e-04,	9.8004955153e-04,	2.5000000987e+00,	4.9989557581e+02,	2.5994029753e+02,	4.7991055655e+00
3.0000000000e-04,	1.4548022973e-03,	2.5000002205e+00,	4.9976743459e+02,	2.6498615426e+02,	4.6956256067e+00
4.0000000000e-04,	1.9191115332e-03,	2.5000003893e+00,	4.9959083807e+02,	2.7007826286e+02,	4.5902515042e+00
5.0000000000e-04,	2.3727927082e-03,	2.5000006040e+00,	4.9936744495e+02,	2.7521340769e+02,	4.4830807453e+00
6.0000000000e-04,	2.8156710851e-03,	2.5000008635e+00,	4.9909894023e+02,	2.8038833471e+02,	4.3742121104e+00
7.0000000000e-04,	3.2475818664e-03,	2.5000011667e+00,	4.9878703320e+02,	2.8559975324e+02,	4.2637455993e+00
8.0000000000e-04,	3.6683703128e-03,	2.5000015126e+00,	4.9843345557e+02,	2.9084433761e+02,	4.1517823592e+00
9.0000000000e-04,	4.0778918536e-03,	2.5000019000e+00,	4.9803995942e+02,	2.9611872885e+02,	4.0384246115e+00
1.0000000000e-03,	4.4760121912e-03,	2.5000023278e+00,	4.9760831531e+02,	3.0141953636e+02,	3.9237755790e+00
1.1000000000e-03,	4.8626073973e-03,	2.5000027949e+00,	4.9714031022e+02,	3.0674333953e+02,	3.8079394137e+00
1.2000000000e-03,	5.2375640023e-03,	2.5000033000e+00,	4.9663774553e+02,	3.1208668927e+02,	3.6910211254e+00
1.3000000000e-03,	5.6007790774e-03,	2.5000038420e+00,	4.9610243504e+02,	3.1744610956e+02,	3.5731265096e+00
1.4000000000e-03,	5.9521603097e-03,	2.5000044197e+00,	4.9553620286e+02,	3.2281809893e+02,	3.4543620786e+00
1.5000000000e-03,	6.2916260706e-03,	2.5000050320e+00,	4.9494088141e+02,	3.2819913184e+02,	3.3348349914e+00
1.6000000000e-03,	6.6191054768e-03,	2.5000056776e+00,	4.9431830933e+02,	3.3358565998e+02,	3.2146529870e+00
1.7000000000e-03,	6.9345384453e-03,	2.5000063554e+00,	4.9367032939e+02,	3.3897411350e+02,	3.0939243178e+00
1.8000000000e-03,	7.2378757412e-03,	2.5000070642e+00,	4.9299878646e+02,	3.4436090213e+02,	2.9727576865e+00
1.9000000000e-03,	7.5290790199e-03,	2.5000078026e+00,	4.9230552537e+02,	3.4974241616e+02,	2.8512621842e+00
2.0000000000e-03,	7.8081208627e-03,	2.5000085696e+00,	4.9159238888e+02,	3.5511502728e+02,	2.7295472320e+00
2.1000000000e-03,	8.0749848075e-03,	2.5000093638e+00,	4.9086121552e+02,	3.6047508922e+02,	2.6077225259e+00
