t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-6.6800000000e-02,	2.5000000000e+00,	5.5000000000e+02,	6.0000000000e+02,	-1.0000000000e+00
1.0000000000e-04,	-6.6871461298e-02,	2.4999933160e+00,	5.6158089506e+02,	5.8312318103e+02,	-4.3084571932e-01
2.0000000000e-04,	-6.6886499503e-02,	2.4999866276e+00,	5.7294292411e+02,	5.6652349732e+02,	1.2838853581e-01
3.0000000000e-04,	-6.6846133320e-02,	2.4999799405e+00,	5.8409699925e+02,	5.5024098234e+02,	6.7712033811e-01
4.0000000000e-04,	-6.6751455529e-02,	2.4999732602e+00,	5.9504937013e+02,	5.3432775887e+02,	1.2144322251e+00
5.0000000000e-04,	-6.6603675758e-02,	2.4999665920e+00,	6.0580325009e+02,	5.1886141949e+02,	1.7388366120e+00
6.0000000000e-04,	-6.6404215724e-02,	2.4999599412e+00,	6.1635980369e+02,	5.0399978678e+02,	2.2472003381e+00
7.0000000000e-04,	-6.6155367508e-02,	2.4999533128e+00,	6.2671884398e+02,	4.9055733962e+02,	2.7232300873e+00
8.0000000000e-04,	-6.5860252750e-02,	2.4999467116e+00,	6.3687949157e+02,	4.7805235357e+02,	3.1765427600e+00
9.0000000000e-04,	-6.5520511075e-02,	2.4999401422e+00,	6.4684032937e+02,	4.6603011568e+02,	3.6162042738e+00
1.0000000000e-03,	-6.5137407880e-02,	2.4999336090e+00,	6.5659941127e+02,	4.5440136147e+02,	4.0439609961e+00
1.1000000000e-03,	-6.4712087303e-02,	2.4999271161e+00,	6.6615437371e+02,	4.4312168884e+02,	4.4606536976e+00
1.2000000000e-03,	-6.4245629912e-02,	2.4999206679e+00,	6.7550253442e+02,	4.3216467571e+02,	4.8667571742e+00
1.3000000000e-03,	-6.3739079285e-02,	2.4999142684e+00,	6.8464097301e+02,	4.2151325060e+02,	5.2625544481e+00
1.4000000000e-03,	-6.3193456869e-02,	2.4999079214e+00,	6.9356659662e+02,	4.1115590112e+02,	5.6482139099e+00
1.5000000000e-03,	-6.2609771233e-02,	2.4999016309e+00,	7.0227619362e+02,	4.0108470333e+02,	6.0238298057e+00
1.6000000000e-03,	-6.1989024194e-02,	2.4998954007e+00,	7.1076647807e+02,	3.9129418042e+02,	6.3894459529e+00
1.7000000000e-03,	-6.1332215060e-02,	2.4998892343e+00,	7.1903412683e+02,	3.8178058908e+02,	6.7450707549e+00
1.8000000000e-03,	-6.0640343633e-02,	2.4998831354e+00,	7.2707581089e+02,	3.7254144696e+02,	7.0906872785e+00
1.9000000000e-03,	-5.9914412372e-02,	2.4998771074e+00,	7.3488822202e+02,	3.6357520545e+02,	7.4262603313e+00
2.0000000000e-03,	-5.9155427948e-02,	2.4998711536e+00,	7.4246809569e+02,	3.5488101477e+02,	7.7517416184e+00
