t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	3.3400000000e-02,	2.5000000000e+00,	5.0000000000e+02,	3.0000000000e+02,	4.0000000000e+00
1.0000000000e-04,	3.3782122669e-02,	2.5000033594e+00,	4.9354380138e+02,	3.1132217844e+02,	3.6444324589e+00
2.0000000000e-04,	3.4129138952e-02,	2.5000067553e+00,	4.8743615659e+02,	3.2259228599e+02,	3.2968774121e+00
3.0000000000e-04,	3.4441671443e-02,	2.5000101841e+00,	4.8152782311e+02,	3.3379975717e+02,	2.9545613188e+00
4.0000000000e-04,	3.4720200303e-02,	2.5000136425e+00,	4.7577050830e+02,	3.4493393515e+02,	2.6167314632e+00
5.0000000000e-04,	3.4965157665e-02,	2.5000171270e+00,	4.7013931858e+02,	3.5598401743e+02,	2.2831060230e+00
6.0000000000e-04,	3.5176959137e-02,	2.5000206344e+00,	4.6461966423e+02,	3.6693900433e+02,	1.9536131981e+00
7.0000000000e-04,	3.5356019489e-02,	2.5000241613e+00,	4.5920255668e+02,	3.7778764057e+02,	1.6282983222e+00
8.0000000000e-04,	3.5502762017e-02,	2.5000277045e+00,	4.5388242718e+02,	3.8851834408e+02,	1.3072816620e+00
9.0000000000e-04,	3.5617624835e-02,	2.5000312608e+00,	4.4865595439e+02,	3.9911911483e+02,	9.9073679109e-01
1.0000000000e-03,	3.5701065574e-02,	2.5000348270e+00,	4.4352136924e+02,	4.0957741467e+02,	6.7887909139e-01
1.1000000000e-03,	3.5753565241e-02,	2.5000384000e+00,	4.3847801205e+02,	4.1988000364e+02,	3.7196016813e-01
1.2000000000e-03,	3.5775631742e-02,	2.5000419767e+00,	4.3352603448e+02,	4.3001271048e+02,	7.0266480108e-02
1.3000000000e-03,	3.5767803457e-02,	2.5000455541e+00,	4.2866618966e+02,	4.3996009844e+02,	-2.2587817543e-01
1.4000000000e-03,	3.5730653285e-02,	2.5000491293e+00,	4.2389967879e+02,	4.4970495734e+02,	-5.1610557114e-01
1.5000000000e-03,	3.5664793716e-02,	2.5000526993e+00,	4.1922803494e+02,	4.5922748616e+02,	-7.9998902440e-01
1.6000000000e-03,	3.5570883855e-02,	2.5000562613e+00,	4.1465303220e+02,	4.6850387442e+02,	-1.0770168445e+00
1.7000000000e-03,	3.5449640269e-02,	2.5000598125e+00,	4.1017661173e+02,	4.7750356073e+02,	-1.3465389800e+00
1.8000000000e-03,	3.5301856060e-02,	2.5000633503e+00,	4.0580081865e+02,	4.8618296577e+02,	-1.6076429425e+00
1.9000000000e-03,	3.5128442372e-02,	2.5000668721e+00,	4.0152774335e+02,	4.9446585884e+02,	-1.8587623098e+00
2.0000000000e-03,	3.4930613243e-02,	2.5000703752e+00,	3.9735945348e+02,	5.0201141858e+02,	-2.0930393019e+00
2.1000000000e-03,	3.4710608227e-02,	2.5000738574e+00,	3.9329782527e+02,	5.0854944153e+02,	-2.3050323251e+00
2.2000000000e-03,	3.4469941088e-02,	2.5000773166e+00,	3.8934445823e+02,	5.1468660549e+02,	-2.5068429453e+00
2.3000000000e-03,	3.4209510639e-02,	2.5000807508e+00,	3.8550085314e+02,	5.2052559490e+02,	-2.7004948352e+00
2.4000000000e-03,	3.3930084812e-02,	2.5000841579e+00,	3.8176845734e+02,	5.2611120631e+02,	-2.8868549795e+00
2.5000000000e-03,	3.3632365947e-02,	2.5000875362e+00,	3.7814867086e+02,	5.3146969482e+02,	-3.0664204792e+00
2.6000000000e-03,	3.3317016398e-02,	2.5000908838e+00,	3.7464284593e+02,	5.3661846362e+02,	-3.2395123538e+00
2.7000000000e-03,	3.2984671813e-02,	2.5000941990e+00,	3.7125228401e+02,	5.4156988967e+02,	-3.4063521132e+00
2.8000000000e-03,	3.2635949020e-02,	2.5000974802e+00,	3.6797823215e+02,	5.4633319198e+02,	-3.5670991966e+00
2.9000000000e-03,	3.2271451092e-02,	2.5001007257e+00,	3.6482187896e+02,	5.5091546907e+02,	-3.7218718023e+00
3.0000000000e-03,	3.1891770799e-02,	2.5001039340e+00,	3.6178435073e+02,	5.5532232813e+02,	-3.8707595479e+00
3.1000000000e-03,	3.1497493020e-02,	2.5001071036e+00,	3.5886670772e+02,	5.5955829167e+02,	-4.0138316789e+00
3.2000000000e-03,	3.1089196489e-02,	2.5001102330e+00,	3.5606994066e+02,	5.6362707378e+02,	-4.1511426624e+00
3.3000000000e-03,	3.0667455062e-02,	2.5001133209e+00,	3.5339496755e+02,	5.6753177510e+02,	-4.2827361510e+00
3.4000000000e-03,	3.0232838645e-02,	2.5001163661e+00,	3.5084263074e+02,	5.7127502492e+02,	-4.4086478837e+00
3.5000000000e-03,	2.9785913873e-02,	2.5001193671e+00,	3.4841369423e+02,	5.7485908749e+02,	-4.5289078652e+00
3.6000000000e-03,	2.9327244596e-02,	2.5001223229e+00,	3.4610884130e+02,	5.7828594330e+02,	-4.6435420399e+00
3.7000000000e-03,	2.8857392217e-02,	2.5001252322e+00,	3.4392867231e+02,	5.8155735235e+02,	-4.7525736008e+00
3.8000000000e-03,	2.8376915912e-02,	2.5001280940e+00,	3.4187370274e+02,	5.8467490432e+02,	-4.8560240317e+00
3.9000000000e-03,	2.7886372761e-02,	2.5001309072e+00,	3.3994436153e+02,	5.8764005880e+02,	-4.9539139455e+00
4.0000000000e-03,	2.7386317793e-02,	2.5001336709e+00,	3.3814098949e+02,	5.9045417791e+02,	-5.0462637684e+00
4.1000000000e-03,	2.6877303984e-02,	2.5001363842e+00,	3.3646383803e+02,	5.9311855317e+02,	-5.1330943027e+00
4.2000000000e-03,	2.6359882189e-02,	2.5001390461e+00,	3.3491306799e+02,	5.9563442769e+02,	-5.2144271940e+00
4.3000000000e-03,	2.5834601039e-02,	2.5001416559e+00,	3.3348874863e+02,	5.9800301468e+02,	-5.2902853210e+00
4.4000000000e-03,	2.5302006804e-02,	2.5001442128e+00,	3.3219085691e+02,	6.0022551307e+02,	-5.3606931232e+00
4.5000000000e-03,	2.4762643219e-02,	2.5001467161e+00,	3.3101927675e+02,	6.0230312060e+02,	-5.4256768770e+00
4.6000000000e-03,	2.4217051288e-02,	2.5001491651e+00,	3.2997379858e+02,	6.0423704502e+02,	-5.4852649288e+00
4.7000000000e-03,	2.3665769072e-02,	2.5001515593e+00,	3.2905411895e+02,	6.0602851356e+02,	-5.5394878922e+00
4.8000000000e-03,	2.3109331447e-02,	2.5001538981e+00,	3.2825984032e+02,	6.0767878107e+02,	-5.5883788149e+00
4.9000000000e-03,	2.2548269859e-02,	2.5001561810e+00,	3.2759047096e+02,	6.0918913692e+02,	-5.6319733192e+00
5.0000000000e-03,	2.1983112057e-02,	2.5001584076e+00,	3.2704542496e+02,	6.1056091095e+02,	-5.6703097199e+00
5.1000000000e-03,	2.1414381818e-02,	2.5001605775e+00,	3.2662402241e+02,	6.1179547854e+02,	-5.7034291227e+00
5.2000000000e-03,	2.0842598669e-02,	2.5001626904e+00,	3.2632548966e+02,	6.1289426491e+02,	-5.7313755050e+00
5.3000000000e-03,	2.0268277591e-02,	2.5001647459e+00,	3.2614895970e+02,	6.1385874883e+02,	-5.7541957825e+00
5.4000000000e-03,	1.9691928723e-02,	2.5001667440e+00,	3.2609347265e+02,	6.1469046567e+02,	-5.7719398604e+00
5.5000000000e-03,	1.9114057064e-02,	2.5001686843e+00,	3.2615797633e+02,	6.1539101006e+02,	-5.7846606747e+00
5.6000000000e-03,	1.8535162167e-02,	2.5001705668e+00,	3.2634132700e+02,	6.1596203802e+02,	-5.7924142203e+00
5.7000000000e-03,	1.7955737830e-02,	2.5001723913e+00,	3.2664229016e+02,	6.1640526871e+02,	-5.7952595711e+00
5.8000000000e-03,	1.7376271791e-02,	2.5001741579e+00,	3.2705954139e+02,	6.1672248588e+02,	-5.7932588898e+00
5.9000000000e-03,	1.6797245415e-02,	2.5001758666e+00,	3.2759166739e+02,	6.1691553891e+02,	-5.7864774304e+00
6.0000000000e-03,	1.6219133389e-02,	2.5001775174e+00,	3.2823716703e+02,	6.1698634364e+02,	-5.7749835322e+00
6.1000000000e-03,	1.5642403413e-02,	2.5001791104e+00,	3.2899445254e+02,	6.1693688290e+02,	-5.7588486073e+00
6.2000000000e-03,	1.5067515890e-02,	2.5001806459e+00,	3.2986185073e+02,	6.1676920683e+02,	-5.7381471220e+00
6.3000000000e-03,	1.4494923627e-02,	2.5001821240e+00,	3.3083760435e+02,	6.1648543292e+02,	-5.7129565714e+00
6.4000000000e-03,	1.3925071531e-02,	2.5001835450e+00,	3.3191987349e+02,	6.1608774594e+02,	-5.6833574491e+00
6.5000000000e-03,	1.3358396311e-02,	2.5001849091e+00,	3.3310673708e+02,	6.1557839764e+02,	-5.6494332112e+00
6.6000000000e-03,	1.2795326183e-02,	2.5001862168e+00,	3.3439619444e+02,	6.1495970622e+02,	-5.6112702358e+00
6.7000000000e-03,	1.2236280583e-02,	2.5001874683e+00,	3.3578616693e+02,	6.1423405581e+02,	-5.5689577778e+00
6.8000000000e-03,	1.1681669878e-02,	2.5001886642e+00,	3.3727449966e+02,	6.1340389563e+02,	-5.5225879194e+00
6.9000000000e-03,	1.1131895087e-02,	2.5001898048e+00,	3.3885896326e+02,	6.1247173911e+02,	-5.4722555169e+00
7.0000000000e-03,	1.0587347609e-02,	2.5001908908e+00,	3.4053725572e+02,	6.1144016289e+02,	-5.4180581433e+00
7.1000000000e-03,	1.0048408953e-02,	2.5001919225e+00,	3.4230700427e+02,	6.1031180567e+02,	-5.3600960279e+00
7.2000000000e-03,	9.5154504707e-03,	2.5001929006e+00,	3.4416576739e+02,	6.0908936701e+02,	-5.2984719923e+00
7.3000000000e-03,	8.9888331093e-03,	2.5001938258e+00,	3.4611103676e+02,	6.0777560594e+02,	-5.2332913836e+00
7.4000000000e-03,	8.4689071557e-03,	2.5001946986e+00,	3.4814023938e+02,	6.0637333962e+02,	-5.1646620048e+00
7.5000000000e-03,	7.9560119970e-03,	2.5001955198e+00,	3.5025073968e+02,	6.0488544179e+02,	-5.0926940423e+00
7.6000000000e-03,	7.4504758860e-03,	2.5001962901e+00,	3.5243984164e+02,	6.0331484121e+02,	-5.0174999914e+00
7.7000000000e-03,	6.9526157132e-03,	2.5001970102e+00,	3.5470479109e+02,	6.0166452007e+02,	-4.9391945796e+00
7.8000000000e-03,	6.4627367884e-03,	2.5001976809e+00,	3.5704277787e+02,	5.9993751224e+02,	-4.8578946874e+00
7.9000000000e-03,	5.9811326288e-03,	2.5001983030e+00,	3.5945093818e+02,	5.9813690160e+02,	-4.7737192684e+00
8.0000000000e-03,	5.5080847562e-03,	2.5001988774e+00,	3.6192635688e+02,	5.9626582020e+02,	-4.6867892664e+00
8.1000000000e-03,	5.0438625019e-03,	2.5001994049e+00,	3.6446606987e+02,	5.9432744650e+02,	-4.5972275327e+00
8.2000000000e-03,	4.5887228202e-03,	2.5001998864e+00,	3.6706706642e+02,	5.9232500348e+02,	-4.5051587412e+00
