t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	6.6800000000e-02,	2.5000000000e+00,	3.0000000000e+02,	5.0000000000e+02,	-4.0000000000e+00
1.0000000000e-04,	6.6377307188e-02,	2.5000066592e+00,	2.9059774178e+02,	5.1309528477e+02,	-4.4499508599e+00
2.0000000000e-04,	6.5910582816e-02,	2.5000132740e+00,	2.8138803386e+02,	5.2549253574e+02,	-4.8820900377e+00
3.0000000000e-04,	6.5401340359e-02,	2.5000198399e+00,	2.7237568871e+02,	5.3740752131e+02,	-5.3006366520e+00
4.0000000000e-04,	6.4850862965e-02,	2.5000263529e+00,	2.6356543757e+02,	5.4891241693e+02,	-5.7069395872e+00
5.0000000000e-04,	6.4260337541e-02,	2.5000328088e+00,	2.5496193604e+02,	5.6004595858e+02,	-6.1016804508e+00
6.0000000000e-04,	6.3630899174e-02,	2.5000392037e+00,	2.4656975764e+02,	5.7083212175e+02,	-6.4852472821e+00
7.0000000000e-04,	6.2963652808e-02,	2.5000455337e+00,	2.3839338396e+02,	5.8128684958e+02,	-6.8578693124e+00
8.0000000000e-04,	6.2259685631e-02,	2.5000517952e+00,	2.3043719404e+02,	5.9142118146e+02,	-7.2196797484e+00
9.0000000000e-04,	6.1520074829e-02,	2.5000579844e+00,	2.2270545388e+02,	6.0124293742e+02,	-7.5707496708e+00
1.0000000000e-03,	6.0745892710e-02,	2.5000640980e+00,	2.1520230633e+02,	6.1075771781e+02,	-7.9111082295e+00
1.1000000000e-03,	5.9938210202e-02,	2.5000701325e+00,	2.0793176179e+02,	6.1996953981e+02,	-8.2407555603e+00
1.2000000000e-03,	5.9098099295e-02,	2.5000760846e+00,	2.0089768939e+02,	6.2888126479e+02,	-8.5596715080e+00
1.3000000000e-03,	5.8226634746e-02,	2.5000819511e+00,	1.9410380895e+02,	6.3749489757e+02,	-8.8678217724e+00
1.4000000000e-03,	5.7324895255e-02,	2.5000877289e+00,	1.8755368352e+02,	6.4581180323e+02,	-9.1651623943e+00
1.5000000000e-03,	5.6393964260e-02,	2.5000934151e+00,	1.8125071252e+02,	6.5383286863e+02,	-9.4516431222e+00
1.6000000000e-03,	5.5434930424e-02,	2.5000990068e+00,	1.7519812544e+02,	6.6155862561e+02,	-9.7272100034e+00
1.7000000000e-03,	5.4448887908e-02,	2.5001045012e+00,	1.6939897602e+02,	6.6898934692e+02,	-9.9918074180e+00
1.8000000000e-03,	5.3436936446e-02,	2.5001098957e+00,	1.6385613697e+02,	6.7612512216e+02,	-1.0245379704e+01
1.9000000000e-03,	5.2400181287e-02,	2.5001151877e+00,	1.5857229505e+02,	6.8296591882e+02,	-1.0487872475e+01
2.0000000000e-03,	5.1339733006e-02,	2.5001203749e+00,	1.5354994664e+02,	6.8951163201e+02,	-1.0719233707e+01
2.1000000000e-03,	5.0256707227e-02,	2.5001254549e+00,	1.4879139372e+02,	6.9576212545e+02,	-1.0939414635e+01
2.2000000000e-03,	4.9152224253e-02,	2.5001304255e+00,	1.4429874009e+02,	7.0171726546e+02,	-1.1148370507e+01
2.3000000000e-03,	4.8027408636e-02,	2.5001352847e+00,	1.4007388811e+02,	7.0737694968e+02,	-1.1346061231e+01
2.4000000000e-03,	4.6883388681e-02,	2.5001400304e+00,	1.3611853566e+02,	7.1274113110e+02,	-1.1532451909e+01
2.5000000000e-03,	4.5721295904e-02,	2.5001446608e+00,	1.3243417346e+02,	7.1780983876e+02,	-1.1707513306e+01
2.6000000000e-03,	4.4542264442e-02,	2.5001491741e+00,	1.2902208269e+02,	7.2258319526e+02,	-1.1871222251e+01
2.7000000000e-03,	4.3347430435e-02,	2.5001535687e+00,	1.2588333288e+02,	7.2706143186e+02,	-1.2023561980e+01
2.8000000000e-03,	4.2137931363e-02,	2.5001578431e+00,	1.2301878017e+02,	7.3124490157e+02,	-1.2164522428e+01
