t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-8.3500000000e-02,	2.5000000000e+00,	3.5000000000e+02,	3.5000000000e+02,	0.0000000000e+00
1.0000000000e-04,	-8.3465413923e-02,	2.4999916512e+00,	3.7103682175e+02,	3.3652721123e+02,	6.9019221045e-01
2.0000000000e-04,	-8.3362280049e-02,	2.4999833092e+00,	3.9177294853e+02,	3.2323162593e+02,	1.3708264520e+00
3.0000000000e-04,	-8.3191594803e-02,	2.4999749809e+00,	4.1217258910e+02,	3.1011903700e+02,	2.0410710419e+00
4.0000000000e-04,	-8.2954444337e-02,	2.4999666731e+00,	4.3219352058e+02,	2.9719584365e+02,	2.6999535387e+00
5.0000000000e-04,	-8.2652022397e-02,	2.4999583922e+00,	4.5178256213e+02,	2.8446887682e+02,	3.3462737063e+00
6.0000000000e-04,	-8.2285661884e-02,	2.4999501448e+00,	4.7086497378e+02,	2.7194525650e+02,	3.9783943456e+00
7.0000000000e-04,	-8.1856905335e-02,	2.4999419372e+00,	4.8930942560e+02,	2.5963226551e+02,	4.5935432017e+00
8.0000000000e-04,	-8.1367872943e-02,	2.4999337755e+00,	5.0648445560e+02,	2.4753721074e+02,	5.1789448972e+00
9.0000000000e-04,	-8.0822237011e-02,	2.4999256655e+00,	5.2218888623e+02,	2.3566711765e+02,	5.7304353716e+00
1.0000000000e-03,	-8.0222365298e-02,	2.4999176128e+00,	5.3724675279e+02,	2.2402863341e+02,	6.2643623877e+00
1.1000000000e-03,	-7.9569863171e-02,	2.4999096228e+00,	5.5179284784e+02,	2.1262827026e+02,	6.7832915516e+00
1.2000000000e-03,	-7.8866170970e-02,	2.4999017006e+00,	5.6588673782e+02,	2.0147244698e+02,	7.2882858169e+00
1.3000000000e-03,	-7.8112651943e-02,	2.4998938512e+00,	5.7956219399e+02,	1.9056748542e+02,	7.7798941713e+00
1.4000000000e-03,	-7.7310628199e-02,	2.4998860796e+00,	5.9284040418e+02,	1.7991959949e+02,	8.2584160937e+00
1.5000000000e-03,	-7.6461399586e-02,	2.4998783906e+00,	6.0573534773e+02,	1.6953488207e+02,	8.7240093132e+00
1.6000000000e-03,	-7.5566254908e-02,	2.4998707889e+00,	6.1825646617e+02,	1.5941929168e+02,	9.1767434898e+00
1.7000000000e-03,	-7.4626479085e-02,	2.4998632789e+00,	6.3041016437e+02,	1.4957863959e+02,	9.6166304955e+00
1.8000000000e-03,	-7.3643357929e-02,	2.4998558650e+00,	6.4220072927e+02,	1.4001857769e+02,	1.0043643032e+01
1.9000000000e-03,	-7.2618181416e-02,	2.4998485516e+00,	6.5363092854e+02,	1.3074458708e+02,	1.0457726829e+01
2.0000000000e-03,	-7.1552245935e-02,	2.4998413428e+00,	6.6470241998e+02,	1.2176196753e+02,	1.0858809049e+01
2.1000000000e-03,	-7.0446855830e-02,	2.4998342425e+00,	6.7541604266e+02,	1.1307582766e+02,	1.1246804300e+01
2.2000000000e-03,	-6.9303324419e-02,	2.4998272547e+00,	6.8577203048e+02,	1.0469107593e+02,	1.1621619091e+01
2.3000000000e-03,	-6.8122974631e-02,	2.4998203830e+00,	6.9577017307e+02,	9.6612412233e+01,	1.1983155217e+01
2.4000000000e-03,	-6.6907139340e-02,	2.4998136312e+00,	7.0540993974e+02,	8.8844320156e+01,	1.2331312392e+01
2.5000000000e-03,	-6.5657161462e-02,	2.4998070028e+00,	7.1469057679e+02,	8.1391059847e+01,	1.2665990339e+01
2.6000000000e-03,	-6.4374393870e-02,	2.4998005009e+00,	7.2361118526e+02,	7.4256661415e+01,	1.2987090477e+01
2.7000000000e-03,	-6.3060199149e-02,	2.4997941289e+00,	7.3217078383e+02,	6.7444918859e+01,	1.3294517299e+01
2.8000000000e-03,	-6.1715949236e-02,	2.4997878899e+00,	7.4036836044e+02,	6.0959384477e+01,	1.3588179519e+01
2.9000000000e-03,	-6.0343024942e-02,	2.4997817867e+00,	7.4820291510e+02,	5.4803363742e+01,	1.3867991027e+01
3.0000000000e-03,	-5.8942815399e-02,	2.4997758222e+00,	7.5567349573e+02,	4.8979910599e+01,	1.4133871703e+01
3.1000000000e-03,	-5.7516717419e-02,	2.4997699990e+00,	7.6277922837e+02,	4.3491823195e+01,	1.4385748103e+01
3.2000000000e-03,	-5.6066134802e-02,	2.4997643196e+00,	7.6951934295e+02,	3.8341639986e+01,	1.4623554059e+01
3.3000000000e-03,	-5.4592477577e-02,	2.4997587865e+00,	7.7589319530e+02,	3.3531636233e+01,	1.4847231181e+01
3.4000000000e-03,	-5.3097161208e-02,	2.4997534019e+00,	7.8190028599e+02,	2.9063820860e+01,	1.5056729303e+01
3.5000000000e-03,	-5.1581605745e-02,	2.4997481678e+00,	7.8754027676e+02,	2.4939933663e+01,	1.5252006862e+01
3.6000000000e-03,	-5.0047234952e-02,	2.4997430862e+00,	7.9281300460e+02,	2.1161442860e+01,	1.5433031235e+01
3.7000000000e-03,	-4.8495475395e-02,	2.4997381589e+00,	7.9771849403e+02,	1.7729542971e+01,	1.5599779021e+01
3.8000000000e-03,	-4.6927755509e-02,	2.4997333876e+00,	8.0225696779e+02,	1.4645153016e+01,	1.5752236296e+01
3.9000000000e-03,	-4.5345504639e-02,	2.4997287738e+00,	8.0642885606e+02,	1.1908915034e+01,	1.5890398821e+01
4.0000000000e-03,	-4.3750152060e-02,	2.4997243190e+00,	8.1023480452e+02,	9.5211928993e+00,	1.6014272232e+01
4.1000000000e-03,	-4.2143125985e-02,	2.4997200242e+00,	8.1367568125e+02,	7.4820714398e+00,	1.6123872196e+01
4.2000000000e-03,	-4.0525852553e-02,	2.4997158907e+00,	8.1675258276e+02,	5.7913558478e+00,	1.6219224538e+01
4.3000000000e-03,	-3.8899754807e-02,	2.4997119193e+00,	8.1946683908e+02,	4.4485713765e+00,	1.6300365354e+01
4.4000000000e-03,	-3.7266251663e-02,	2.4997081110e+00,	8.2182001811e+02,	3.4529633174e+00,	1.6367341096e+01
4.5000000000e-03,	-3.5626756872e-02,	2.4997044663e+00,	8.2381392922e+02,	2.8034972539e+00,	1.6420208639e+01
4.6000000000e-03,	-3.3982677975e-02,	2.4997009858e+00,	8.2545062628e+02,	2.4988595842e+00,	1.6459035334e+01
4.7000000000e-03,	-3.2335415250e-02,	2.4996976698e+00,	8.2673241007e+02,	2.5374583101e+00,	1.6483899035e+01
4.8000000000e-03,	-3.0686360667e-02,	2.4996945187e+00,	8.2766183008e+02,	2.9174240873e+00,	1.6494888120e+01
4.9000000000e-03,	-2.9036896829e-02,	2.4996915326e+00,	8.2824168594e+02,	3.6366115301e+00,	1.6492101488e+01
5.0000000000e-03,	-2.7388395924e-02,	2.4996887113e+00,	8.2847502825e+02,	4.6926007682e+00,	1.6475648550e+01
5.1000000000e-03,	-2.5742218677e-02,	2.4996860548e+00,	8.2836515911e+02,	6.0826992500e+00,	1.6445649197e+01
5.2000000000e-03,	-2.4099713299e-02,	2.4996835628e+00,	8.2791563214e+02,	7.8039437870e+00,	1.6402233767e+01
5.3000000000e-03,	-2.2462214447e-02,	2.4996812347e+00,	8.2713025216e+02,	9.8531028353e+00,	1.6345542986e+01
5.4000000000e-03,	-2.0831042190e-02,	2.4996790701e+00,	8.2601307455e+02,	1.2226679009e+01,	1.6275727911e+01
5.5000000000e-03,	-1.9207500976e-02,	2.4996770683e+00,	8.2456840426e+02,	1.4920911821e+01,	1.6192949849e+01
5.6000000000e-03,	-1.7592878615e-02,	2.4996752283e+00,	8.2280079446e+02,	1.7931780644e+01,	1.6097380276e+01
5.7000000000e-03,	-1.5988445264e-02,	2.4996735493e+00,	8.2071504502e+02,	2.1255007891e+01,	1.5989200743e+01
5.8000000000e-03,	-1.4395452425e-02,	2.4996720302e+00,	8.1831620059e+02,	2.4886062399e+01,	1.5868602764e+01
5.9000000000e-03,	-1.2815131958e-02,	2.4996706698e+00,	8.1560954851e+02,	2.8820163032e+01,	1.5735787709e+01
6.0000000000e-03,	-1.1248695093e-02,	2.4996694668e+00,	8.1260061649e+02,	3.3052282466e+01,	1.5590966680e+01
6.1000000000e-03,	-9.6973314745e-03,	2.4996684196e+00,	8.0929517004e+02,	3.7577151182e+01,	1.5434360377e+01
