t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	3.3400000000e-02,	2.5000000000e+00,	4.5000000000e+02,	4.5000000000e+02,	0.0000000000e+00
1.0000000000e-04,	3.3386209031e-02,	2.5000033395e+00,	4.4530354524e+02,	4.5904196214e+02,	-2.7476833792e-01
2.0000000000e-04,	3.3345263944e-02,	2.5000066763e+00,	4.4071050591e+02,	4.6786072167e+02,	-5.4300431523e-01
3.0000000000e-04,	3.3277843730e-02,	2.5000100077e+00,	4.3622050507e+02,	4.7642883970e+02,	-8.0416669253e-01
4.0000000000e-04,	3.3184691190e-02,	2.5000133310e+00,	4.3183367033e+02,	4.8470855560e+02,	-1.0574977054e+00
5.0000000000e-04,	3.3066645040e-02,	2.5000166438e+00,	4.2755048787e+02,	4.9263861738e+02,	-1.3017625902e+00
6.0000000000e-04,	3.2924735497e-02,	2.5000199436e+00,	4.2337167831e+02,	5.0005410945e+02,	-1.5336486228e+00
7.0000000000e-04,	3.2760872797e-02,	2.5000232280e+00,	4.1929802674e+02,	5.0635382977e+02,	-1.7411160606e+00
8.0000000000e-04,	3.2576868372e-02,	2.5000264951e+00,	4.1533018328e+02,	5.1220464831e+02,	-1.9374893005e+00
9.0000000000e-04,	3.2373643454e-02,	2.5000297428e+00,	4.1146879049e+02,	5.1775715223e+02,	-2.1257672350e+00
1.0000000000e-03,	3.2151949888e-02,	2.5000329692e+00,	4.0771454052e+02,	5.2306367807e+02,	-2.3069827509e+00
1.1000000000e-03,	3.1912463234e-02,	2.5000361726e+00,	4.0406816844e+02,	5.2815326597e+02,	-2.4817019507e+00
1.2000000000e-03,	3.1655813954e-02,	2.5000393511e+00,	4.0053043954e+02,	5.3304463287e+02,	-2.6502838667e+00
1.3000000000e-03,	3.1382602766e-02,	2.5000425032e+00,	3.9710213630e+02,	5.3775085584e+02,	-2.8129743906e+00
1.4000000000e-03,	3.1093409520e-02,	2.5000456271e+00,	3.9378404627e+02,	5.4228155142e+02,	-2.9699501031e+00
1.5000000000e-03,	3.0788798839e-02,	2.5000487213e+00,	3.9057695106e+02,	5.4664404897e+02,	-3.1213419582e+00
1.6000000000e-03,	3.0469323918e-02,	2.5000517844e+00,	3.8748161666e+02,	5.5084408650e+02,	-3.2672493966e+00
1.7000000000e-03,	3.0135529191e-02,	2.5000548147e+00,	3.8449878488e+02,	5.5488625330e+02,	-3.4077493683e+00
1.8000000000e-03,	2.9787952261e-02,	2.5000578110e+00,	3.8162916573e+02,	5.5877428664e+02,	-3.5429024181e+00
1.9000000000e-03,	2.9427125314e-02,	2.5000607719e+00,	3.7887343076e+02,	5.6251127904e+02,	-3.6727569655e+00
2.0000000000e-03,	2.9053576164e-02,	2.5000636960e+00,	3.7623220720e+02,	5.6609982813e+02,	-3.7973524187e+00
2.1000000000e-03,	2.8667829037e-02,	2.5000665822e+00,	3.7370607270e+02,	5.6954214786e+02,	-3.9167215033e+00
2.2000000000e-03,	2.8270405144e-02,	2.5000694292e+00,	3.7129555077e+02,	5.7284015306e+02,	-4.0308920457e+00
2.3000000000e-03,	2.7861823100e-02,	2.5000722359e+00,	3.6900110671e+02,	5.7599552496e+02,	-4.1398883649e+00
2.4000000000e-03,	2.7442599213e-02,	2.5000750012e+00,	3.6682314400e+02,	5.7900976287e+02,	-4.2437323772e+00
2.5000000000e-03,	2.7013247687e-02,	2.5000777241e+00,	3.6476200112e+02,	5.8188422542e+02,	-4.3424444859e+00
2.6000000000e-03,	2.6574280725e-02,	2.5000804035e+00,	3.6281794877e+02,	5.8462016405e+02,	-4.4360443056e+00
2.7000000000e-03,	2.6126208588e-02,	2.5000830386e+00,	3.6099118735e+02,	5.8721875031e+02,	-4.5245512592e+00
2.8000000000e-03,	2.5669539579e-02,	2.5000856285e+00,	3.5928184488e+02,	5.8968109852e+02,	-4.6079850728e+00
2.9000000000e-03,	2.5204779998e-02,	2.5000881723e+00,	3.5768997505e+02,	5.9200828458e+02,	-4.6863661906e+00
3.0000000000e-03,	2.4732434049e-02,	2.5000906692e+00,	3.5621555561e+02,	5.9420136175e+02,	-4.7597161230e+00
3.1000000000e-03,	2.4253003719e-02,	2.5000931185e+00,	3.5485848694e+02,	5.9626137402e+02,	-4.8280577416e+00
3.2000000000e-03,	2.3766988630e-02,	2.5000955196e+00,	3.5361859093e+02,	5.9818936739e+02,	-4.8914155291e+00
3.3000000000e-03,	2.3274885866e-02,	2.5000978717e+00,	3.5249560992e+02,	5.9998639949e+02,	-4.9498157914e+00
3.4000000000e-03,	2.2777189781e-02,	2.5001001744e+00,	3.5148920591e+02,	6.0165354782e+02,	-5.0032868382e+00
3.5000000000e-03,	2.2274391793e-02,	2.5001024270e+00,	3.5059895994e+02,	6.0319191678e+02,	-5.0518591367e+00
3.6000000000e-03,	2.1766980157e-02,	2.5001046291e+00,	3.4982437162e+02,	6.0460264369e+02,	-5.0955654415e+00
3.7000000000e-03,	2.1255439735e-02,	2.5001067802e+00,	3.4916485878e+02,	6.0588690399e+02,	-5.1344409043e+00
3.8000000000e-03,	2.0740251752e-02,	2.5001088801e+00,	3.4861975731e+02,	6.0704591560e+02,	-5.1685231658e+00
3.9000000000e-03,	2.0221893538e-02,	2.5001109282e+00,	3.4818832113e+02,	6.0808094274e+02,	-5.1978524323e+00
4.0000000000e-03,	1.9700838274e-02,	2.5001129243e+00,	3.4786972223e+02,	6.0899329915e+02,	-5.2224715382e+00
4.1000000000e-03,	1.9177554722e-02,	2.5001148683e+00,	3.4766305095e+02,	6.0978435073e+02,	-5.2424259957e+00
4.2000000000e-03,	1.8652506958e-02,	2.5001167598e+00,	3.4756731622e+02,	6.1045551791e+02,	-5.2577640339e+00
4.3000000000e-03,	1.8126154100e-02,	2.5001185987e+00,	3.4758144606e+02,	6.1100827744e+02,	-5.2685366277e+00
4.4000000000e-03,	1.7598950026e-02,	2.5001203850e+00,	3.4770428811e+02,	6.1144416399e+02,	-5.2747975176e+00
4.5000000000e-03,	1.7071343105e-02,	2.5001221185e+00,	3.4793461026e+02,	6.1176477130e+02,	-5.2766032207e+00
4.6000000000e-03,	1.6543775915e-02,	2.5001237993e+00,	3.4827110144e+02,	6.1197175318e+02,	-5.2740130349e+00
4.7000000000e-03,	1.6016684962e-02,	2.5001254273e+00,	3.4871237239e+02,	6.1206682414e+02,	-5.2670890350e+00
4.8000000000e-03,	1.5490500410e-02,	2.5001270026e+00,	3.4925695666e+02,	6.1205175983e+02,	-5.2558960634e+00
4.9000000000e-03,	1.4965645798e-02,	2.5001285254e+00,	3.4990331160e+02,	6.1192839731e+02,	-5.2405017142e+00
5.0000000000e-03,	1.4442537772e-02,	2.5001299958e+00,	3.5064981947e+02,	6.1169863504e+02,	-5.2209763114e+00
5.1000000000e-03,	1.3921585806e-02,	2.5001314140e+00,	3.5149478862e+02,	6.1136443275e+02,	-5.1973928826e+00
5.2000000000e-03,	1.3403191942e-02,	2.5001327802e+00,	3.5243645478e+02,	6.1092781113e+02,	-5.1698271270e+00
5.3000000000e-03,	1.2887750517e-02,	2.5001340947e+00,	3.5347298235e+02,	6.1039085135e+02,	-5.1383573799e+00
5.4000000000e-03,	1.2375647905e-02,	2.5001353579e+00,	3.5460246588e+02,	6.0975569448e+02,	-5.1030645719e+00
5.5000000000e-03,	1.1867262258e-02,	2.5001365700e+00,	3.5582293150e+02,	6.0902454073e+02,	-5.0640321847e+00
5.6000000000e-03,	1.1362963257e-02,	2.5001377315e+00,	3.5713233848e+02,	6.0819964861e+02,	-5.0213462026e+00
5.7000000000e-03,	1.0863111859e-02,	2.5001388427e+00,	3.5852858086e+02,	6.0728333393e+02,	-4.9750950613e+00
5.8000000000e-03,	1.0368060058e-02,	2.5001399043e+00,	3.6000948912e+02,	6.0627796875e+02,	-4.9253695925e+00
5.9000000000e-03,	9.8781506481e-03,	2.5001409165e+00,	3.6157283188e+02,	6.0518598019e+02,	-4.8722629662e+00
6.0000000000e-03,	9.3937169909e-03,	2.5001418801e+00,	3.6321631775e+02,	6.0400984921e+02,	-4.8158706293e+00
6.1000000000e-03,	8.9150827929e-03,	2.5001427955e+00,	3.6493759710e+02,	6.0275210919e+02,	-4.7562902419e+00
6.2000000000e-03,	8.4425618863e-03,	2.5001436633e+00,	3.6673426402e+02,	6.0141534459e+02,	-4.6936216114e+00
6.3000000000e-03,	7.9764580181e-03,	2.5001444842e+00,	3.6860385819e+02,	6.0000218938e+02,	-4.6279666237e+00
6.4000000000e-03,	7.5170646459e-03,	2.5001452588e+00,	3.7054386695e+02,	5.9851532556e+02,	-4.5594291723e+00
6.5000000000e-03,	7.0646647403e-03,	2.5001459878e+00,	3.7255172721e+02,	5.9695748149e+02,	-4.4881150856e+00
6.6000000000e-03,	6.6195305956e-03,	2.5001466720e+00,	3.7462482761e+02,	5.9533143024e+02,	-4.4141320526e+00
6.7000000000e-03,	6.1819236474e-03,	2.5001473120e+00,	3.7676051058e+02,	5.9363998790e+02,	-4.3375895463e+00
