t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	0.0000000000e+00,	2.5000000000e+00,	4.5000000000e+02,	7.5000000000e+02,	-6.0000000000e+00
1.0000000000e-04,	-5.9283455359e-04,	2.4999999702e+00,	4.5223602154e+02,	7.4504591887e+02,	-5.8561979465e+00
2.0000000000e-04,	-1.1711443093e-03,	2.4999998819e+00,	4.5454272229e+02,	7.4001960313e+02,	-5.7095376168e+00
3.0000000000e-04,	-1.7346535735e-03,	2.4999997365e+00,	4.5691420737e+02,	7.3492532293e+02,	-5.5602223111e+00
4.0000000000e-04,	-2.2831071722e-03,	2.4999995355e+00,	4.5934444105e+02,	7.2976739903e+02,	-5.4084591596e+00
5.0000000000e-04,	-2.8162708450e-03,	2.4999992804e+00,	4.6182723172e+02,	7.2455019875e+02,	-5.2544593406e+00
6.0000000000e-04,	-3.3339316637e-03,	2.4999989728e+00,	4.6435621287e+02,	7.1927813184e+02,	-5.0984383794e+00
7.0000000000e-04,	-3.8358984862e-03,	2.4999986141e+00,	4.6692481871e+02,	7.1395564637e+02,	-4.9406165532e+00
8.0000000000e-04,	-4.3220024581e-03,	2.4999982061e+00,	4.6952625242e+02,	7.0858722449e+02,	-4.7812194415e+00
9.0000000000e-04,	-4.7920975782e-03,	2.4999977503e+00,	4.7215344449e+02,	7.0317737824e+02,	-4.6204786750e+00
1.0000000000e-03,	-5.2460613523e-03,	2.4999972482e+00,	4.7479899698e+02,	6.9773064521e+02,	-4.4586329646e+00
1.1000000000e-03,	-5.6837955689e-03,	2.4999967016e+00,	4.7745510742e+02,	6.9225158420e+02,	-4.2959295356e+00
1.2000000000e-03,	-6.1052272465e-03,	2.4999961120e+00,	4.8011346243e+02,	6.8674477074e+02,	-4.1326261661e+00
1.3000000000e-03,	-6.5103098280e-03,	2.4999954811e+00,	4.8276508432e+02,	6.8121479250e+02,	-3.9689941636e+00
1.4000000000e-03,	-6.8990247422e-03,	2.4999948105e+00,	4.8540010099e+02,	6.7566624457e+02,	-3.8053228715e+00
1.5000000000e-03,	-7.2713835369e-03,	2.4999941018e+00,	4.8800738309e+02,	6.7010372439e+02,	-3.6419268261e+00
1.6000000000e-03,	-7.6274309475e-03,	2.4999933568e+00,	4.9057393165e+02,	6.6453182643e+02,	-3.4791578956e+00
1.7000000000e-03,	-7.9672496344e-03,	2.4999925769e+00,	4.9308374192e+02,	6.5895513609e+02,	-3.3174278833e+00
1.8000000000e-03,	-8.2909682626e-03,	2.4999917638e+00,	4.9551536972e+02,	6.5337822269e+02,	-3.1572570592e+00
1.9000000000e-03,	-8.5987777525e-03,	2.4999909192e+00,	4.9783523510e+02,	6.4780563019e+02,	-2.9994079018e+00
2.0000000000e-03,	-8.8909790692e-03,	2.4999900446e+00,	4.9996017200e+02,	6.4224186257e+02,	-2.8456338113e+00
2.1000000000e-03,	-9.1683235100e-03,	2.4999891415e+00,	5.0158023375e+02,	6.3669133561e+02,	-2.7022220372e+00
2.2000000000e-03,	-9.4315304220e-03,	2.4999882114e+00,	5.0304326779e+02,	6.3115830399e+02,	-2.5623007240e+00
2.3000000000e-03,	-9.6808478999e-03,	2.4999872557e+00,	5.0443056118e+02,	6.2564695306e+02,	-2.4243278377e+00
2.4000000000e-03,	-9.9164468703e-03,	2.4999862757e+00,	5.0576703352e+02,	6.2016145078e+02,	-2.2878883451e+00
2.5000000000e-03,	-1.0138470807e-02,	2.4999852728e+00,	5.0706549873e+02,	6.1470596114e+02,	-2.1528092482e+00
2.6000000000e-03,	-1.0347051744e-02,	2.4999842485e+00,	5.0833351808e+02,	6.0928465230e+02,	-2.0190226842e+00
2.7000000000e-03,	-1.0542318019e-02,	2.4999832039e+00,	5.0957582939e+02,	6.0390170283e+02,	-1.8865174687e+00
2.8000000000e-03,	-1.0724398701e-02,	2.4999821404e+00,	5.1079546275e+02,	5.9856130746e+02,	-1.7553168942e+00
2.9000000000e-03,	-1.0893426401e-02,	2.4999810594e+00,	5.1199433494e+02,	5.9326768296e+02,	-1.6254669605e+00
