t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-3.3400000000e-02,	2.5000000000e+00,	5.5000000000e+02,	6.5000000000e+02,	-2.0000000000e+00
1.0000000000e-04,	-3.3584549456e-02,	2.4999966505e+00,	5.5471699669e+02,	6.3929362290e+02,	-1.6915325243e+00
2.0000000000e-04,	-3.3738418857e-02,	2.4999932841e+00,	5.5937064620e+02,	6.2869245585e+02,	-1.3864361930e+00
3.0000000000e-04,	-3.3861956790e-02,	2.4999899038e+00,	5.6395984111e+02,	6.1820700374e+02,	-1.0849432527e+00
4.0000000000e-04,	-3.3955535875e-02,	2.4999865127e+00,	5.6848299475e+02,	6.0784808669e+02,	-7.8730183892e-01
5.0000000000e-04,	-3.4019554304e-02,	2.4999831137e+00,	5.7293815671e+02,	5.9762692209e+02,	-4.9377530760e-01
6.0000000000e-04,	-3.4054437380e-02,	2.4999797098e+00,	5.7732310120e+02,	5.8755523426e+02,	-2.0464266121e-01
7.0000000000e-04,	-3.4060639152e-02,	2.4999763038e+00,	5.8163539636e+02,	5.7764540448e+02,	7.9799837755e-02
8.0000000000e-04,	-3.4038644277e-02,	2.4999728986e+00,	5.8587246000e+02,	5.6791068163e+02,	3.5923556727e-01
9.0000000000e-04,	-3.3988970300e-02,	2.4999694970e+00,	5.9003160531e+02,	5.5836548808e+02,	6.3332234450e-01
1.0000000000e-03,	-3.3912170595e-02,	2.4999661017e+00,	5.9411007947e+02,	5.4902588248e+02,	9.0168393983e-01
1.1000000000e-03,	-3.3808838419e-02,	2.4999627154e+00,	5.9810509684e+02,	5.3991029877e+02,	1.1638959613e+00
1.2000000000e-03,	-3.3679612839e-02,	2.4999593408e+00,	6.0201386863e+02,	5.3104081459e+02,	1.4194610807e+00
1.3000000000e-03,	-3.3525188131e-02,	2.4999559804e+00,	6.0583363036e+02,	5.2244556141e+02,	1.6677613790e+00
1.4000000000e-03,	-3.3346330381e-02,	2.4999526366e+00,	6.0956166900e+02,	5.1416408177e+02,	1.9079517445e+00
1.5000000000e-03,	-3.3143912722e-02,	2.4999493119e+00,	6.1319535266e+02,	5.0626314520e+02,	2.1386441493e+00
1.6000000000e-03,	-3.2919043131e-02,	2.4999460085e+00,	6.1673217170e+02,	4.9898849268e+02,	2.3548735802e+00
1.7000000000e-03,	-3.2673805281e-02,	2.4999427287e+00,	6.2016986536e+02,	4.9278393647e+02,	2.5477185777e+00
1.8000000000e-03,	-3.2409840813e-02,	2.4999394744e+00,	6.2350653538e+02,	4.8700150550e+02,	2.7301005977e+00
1.9000000000e-03,	-3.2128054656e-02,	2.4999362474e+00,	6.2674046400e+02,	4.8152221773e+02,	2.9043649254e+00
2.0000000000e-03,	-3.1829207159e-02,	2.4999330494e+00,	6.2987004570e+02,	4.7629817485e+02,	3.0714374170e+00
2.1000000000e-03,	-3.1513989345e-02,	2.4999298821e+00,	6.3289377155e+02,	4.7130182423e+02,	3.2318389463e+00
2.2000000000e-03,	-3.1183050465e-02,	2.4999267471e+00,	6.3581022257e+02,	4.6651500538e+02,	3.3859043439e+00
2.3000000000e-03,	-3.0837011887e-02,	2.4999236460e+00,	6.3861806673e+02,	4.6192479765e+02,	3.5338653817e+00
2.4000000000e-03,	-3.0476475210e-02,	2.4999205802e+00,	6.4131605764e+02,	4.5752153725e+02,	3.6758904079e+00
2.5000000000e-03,	-3.0102027420e-02,	2.4999175511e+00,	6.4390303434e+02,	4.5329773168e+02,	3.8121060531e+00
2.6000000000e-03,	-2.9714244358e-02,	2.4999145602e+00,	6.4637792152e+02,	4.4924740823e+02,	3.9426102657e+00
2.7000000000e-03,	-2.9313693144e-02,	2.4999116087e+00,	6.4873973010e+02,	4.4536569591e+02,	4.0674806838e+00
2.8000000000e-03,	-2.8900933903e-02,	2.4999086979e+00,	6.5098755794e+02,	4.4164854333e+02,	4.1867802922e+00
2.9000000000e-03,	-2.8476521027e-02,	2.4999058289e+00,	6.5312059065e+02,	4.3809252046e+02,	4.3005614038e+00
3.0000000000e-03,	-2.8041004082e-02,	2.4999030029e+00,	6.5513810236e+02,	4.3469467471e+02,	4.4088685529e+00
3.1000000000e-03,	-2.7594928480e-02,	2.4999002211e+00,	6.5703945647e+02,	4.3145242373e+02,	4.5117406549e+00
3.2000000000e-03,	-2.7138835951e-02,	2.4998974843e+00,	6.5882410645e+02,	4.2836347364e+02,	4.6092126562e+00
