t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	5.0100000000e-02,	2.5000000000e+00,	3.0000000000e+02,	7.0000000000e+02,	-8.0000000000e+00
1.0000000000e-04,	4.9288108719e-02,	2.5000049696e+00,	2.9409325140e+02,	7.0590675249e+02,	-8.2362700218e+00
2.0000000000e-04,	4.8453058055e-02,	2.5000098568e+00,	2.8842054910e+02,	7.1157946589e+02,	-8.4631783357e+00
3.0000000000e-04,	4.7595786930e-02,	2.5000146595e+00,	2.8298325547e+02,	7.1701677703e+02,	-8.6806704313e+00
4.0000000000e-04,	4.6717239558e-02,	2.5000193753e+00,	2.7778265294e+02,	7.2221740269e+02,	-8.8886949950e+00
5.0000000000e-04,	4.5818365107e-02,	2.5000240022e+00,	2.7281993135e+02,	7.2718015225e+02,	-9.0872044178e+00
6.0000000000e-04,	4.4900117299e-02,	2.5000285383e+00,	2.6809617687e+02,	7.3190393879e+02,	-9.2761552384e+00
7.0000000000e-04,	4.3963453982e-02,	2.5000329817e+00,	2.6361236223e+02,	7.3638778884e+02,	-9.4555085321e+00
8.0000000000e-04,	4.3009336651e-02,	2.5000373304e+00,	2.5936933825e+02,	7.4063085087e+02,	-9.6252302524e+00
9.0000000000e-04,	4.2038729952e-02,	2.5000415830e+00,	2.5536782628e+02,	7.4463240285e+02,	-9.7852915314e+00
1.0000000000e-03,	4.1052601147e-02,	2.5000457377e+00,	2.5160841160e+02,	7.4839185881e+02,	-9.9356689444e+00
1.1000000000e-03,	4.0051919557e-02,	2.5000497930e+00,	2.4809153760e+02,	7.5190877473e+02,	-1.0076344743e+01
1.2000000000e-03,	3.9037655988e-02,	2.5000537476e+00,	2.4481750067e+02,	7.5518285360e+02,	-1.0207307059e+01
1.3000000000e-03,	3.8010782128e-02,	2.5000576001e+00,	2.4178644570e+02,	7.5821394991e+02,	-1.0328550084e+01
1.4000000000e-03,	3.6972269941e-02,	2.5000613494e+00,	2.3899836220e+02,	7.6100207360e+02,	-1.0440074228e+01
1.5000000000e-03,	3.5923091027e-02,	2.5000649942e+00,	2.3645308088e+02,	7.6354739342e+02,	-1.0541886251e+01
1.6000000000e-03,	3.4864215994e-02,	2.5000685337e+00,	2.3415027071e+02,	7.6585023986e+02,	-1.0633999383e+01
1.7000000000e-03,	3.3796613795e-02,	2.5000719668e+00,	2.3208943648e+02,	7.6791110766e+02,	-1.0716433424e+01
1.8000000000e-03,	3.2721251071e-02,	2.5000752927e+00,	2.3026991668e+02,	7.6973065788e+02,	-1.0789214824e+01
