t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	8.3500000000e-02,	2.5000000000e+00,	6.5000000000e+02,	3.5000000000e+02,	6.0000000000e+00
1.0000000000e-04,	8.4057749226e-02,	2.5000083786e+00,	6.2890160877e+02,	3.7109841464e+02,	5.1560638824e+00
2.0000000000e-04,	8.4531453776e-02,	2.5000168087e+00,	6.0798414019e+02,	3.9201595263e+02,	4.3193637512e+00
3.0000000000e-04,	8.4921917860e-02,	2.5000252821e+00,	5.8728883967e+02,	4.1271136691e+02,	3.4915494552e+00
4.0000000000e-04,	8.5230124000e-02,	2.5000337904e+00,	5.6686420367e+02,	4.3313615869e+02,	2.6745608996e+00
5.0000000000e-04,	8.5457271256e-02,	2.5000423254e+00,	5.4677126397e+02,	4.5322929271e+02,	1.8708394251e+00
6.0000000000e-04,	8.5604846904e-02,	2.5000508792e+00,	5.2709649985e+02,	4.7290428386e+02,	1.0838443198e+00
7.0000000000e-04,	8.5674798529e-02,	2.5000594438e+00,	5.0799901494e+02,	4.9200201393e+02,	3.1994002023e-01
8.0000000000e-04,	8.5670643953e-02,	2.5000680117e+00,	4.9029124003e+02,	5.0970996996e+02,	-3.8837459861e-01
9.0000000000e-04,	8.5598585664e-02,	2.5000765757e+00,	4.7378596295e+02,	5.2621551499e+02,	-1.0485910408e+00
1.0000000000e-03,	8.5461622966e-02,	2.5000851292e+00,	4.5781011454e+02,	5.4219166443e+02,	-1.6876309977e+00
1.1000000000e-03,	8.5261612312e-02,	2.5000936659e+00,	4.4225056305e+02,	5.5775154408e+02,	-2.3100196206e+00
1.2000000000e-03,	8.5000103780e-02,	2.5001021795e+00,	4.2705527139e+02,	5.7294718859e+02,	-2.9178383440e+00
1.3000000000e-03,	8.4678490948e-02,	2.5001106639e+00,	4.1219508414e+02,	5.8780775164e+02,	-3.5122533501e+00
1.4000000000e-03,	8.4298076135e-02,	2.5001191132e+00,	3.9765239303e+02,	6.0235083991e+02,	-4.0939689375e+00
1.5000000000e-03,	8.3860105802e-02,	2.5001275216e+00,	3.8341633236e+02,	6.1658731759e+02,	-4.6634197046e+00
1.6000000000e-03,	8.3365792140e-02,	2.5001358834e+00,	3.6948033551e+02,	6.3052374978e+02,	-5.2208682855e+00
1.7000000000e-03,	8.2816327247e-02,	2.5001441929e+00,	3.5584074076e+02,	6.4416379669e+02,	-5.7664611187e+00
1.8000000000e-03,	8.2212892886e-02,	2.5001524448e+00,	3.4249592893e+02,	6.5750907593e+02,	-6.3002629398e+00
1.9000000000e-03,	8.1556667455e-02,	2.5001606338e+00,	3.2944575705e+02,	6.7055972890e+02,	-6.8222794369e+00
2.0000000000e-03,	8.0848831066e-02,	2.5001687545e+00,	3.1669116846e+02,	6.8331481065e+02,	-7.3324728439e+00
2.1000000000e-03,	8.0090569299e-02,	2.5001768018e+00,	3.0423391422e+02,	6.9577256848e+02,	-7.8307730851e+00
2.2000000000e-03,	7.9283076007e-02,	2.5001847709e+00,	2.9207634771e+02,	7.0793064735e+02,	-8.3170859926e+00
2.3000000000e-03,	7.8427555398e-02,	2.5001926569e+00,	2.8022126915e+02,	7.1978624537e+02,	-8.7912995246e+00
2.4000000000e-03,	7.7525223574e-02,	2.5002004549e+00,	2.6867180522e+02,	7.3133623415e+02,	-9.2532885786e+00
2.5000000000e-03,	7.6577309637e-02,	2.5002081604e+00,	2.5743131420e+02,	7.4257725370e+02,	-9.7029187899e+00
2.6000000000e-03,	7.5585056460e-02,	2.5002157689e+00,	2.4650330969e+02,	7.5350578871e+02,	-1.0140049580e+01
2.7000000000e-03,	7.4549721177e-02,	2.5002232760e+00,	2.3589139851e+02,	7.6411823060e+02,	-1.0564536642e+01
2.8000000000e-03,	7.3472575455e-02,	2.5002306774e+00,	2.2559922948e+02,	7.7441092883e+02,	-1.0976233987e+01
2.9000000000e-03,	7.2354905570e-02,	2.5002379691e+00,	2.1563045056e+02,	7.8438023373e+02,	-1.1374995663e+01
3.0000000000e-03,	7.1198012330e-02,	2.5002451471e+00,	2.0598867267e+02,	7.9402253263e+02,	-1.1760677199e+01
3.1000000000e-03,	7.0003210865e-02,	2.5002522075e+00,	1.9667743893e+02,	8.0333428070e+02,	-1.2133136835e+01
3.2000000000e-03,	6.8771830298e-02,	2.5002591465e+00,	1.8770019814e+02,	8.1231202746e+02,	-1.2492236586e+01
3.3000000000e-03,	6.7505213326e-02,	2.5002659607e+00,	1.7906028190e+02,	8.2095243962e+02,	-1.2837843154e+01
3.4000000000e-03,	6.6204715707e-02,	2.5002726464e+00,	1.7076088460e+02,	8.2925232114e+02,	-1.3169828731e+01
3.5000000000e-03,	6.4871705675e-02,	2.5002792005e+00,	1.6280504600e+02,	8.3720863063e+02,	-1.3488071693e+01
3.6000000000e-03,	6.3507563291e-02,	2.5002856197e+00,	1.5519563581e+02,	8.4481849681e+02,	-1.3792457220e+01
3.7000000000e-03,	6.2113679736e-02,	2.5002919010e+00,	1.4793534008e+02,	8.5207923204e+02,	-1.4082877839e+01
3.8000000000e-03,	6.0691456551e-02,	2.5002980415e+00,	1.4102664923e+02,	8.5898834441e+02,	-1.4359233904e+01
3.9000000000e-03,	5.9242304830e-02,	2.5003040384e+00,	1.3447184728e+02,	8.6554354842e+02,	-1.4621434023e+01
