t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	3.3400000000e-02,	2.5000000000e+00,	5.5000000000e+02,	4.0000000000e+02,	3.0000000000e+00
1.0000000000e-04,	3.3680878119e-02,	2.5000033544e+00,	5.4092745365e+02,	4.1000729901e+02,	2.6184030928e+00
2.0000000000e-04,	3.3923862732e-02,	2.5000067349e+00,	5.3201953909e+02,	4.1990583346e+02,	2.2422741125e+00
3.0000000000e-04,	3.4129546578e-02,	2.5000101379e+00,	5.2330809636e+02,	4.2967998970e+02,	1.8725621332e+00
4.0000000000e-04,	3.4298628653e-02,	2.5000135596e+00,	5.1483658893e+02,	4.3931300644e+02,	1.5104716498e+00
5.0000000000e-04,	3.4431952770e-02,	2.5000169964e+00,	5.0667594662e+02,	4.4878653234e+02,	1.1577882856e+00
6.0000000000e-04,	3.4530637123e-02,	2.5000204448e+00,	4.9906968794e+02,	4.5807992568e+02,	8.1979524526e-01
7.0000000000e-04,	3.4596839547e-02,	2.5000239015e+00,	4.9250303892e+02,	4.6716912512e+02,	5.0667827597e-01
8.0000000000e-04,	3.4632371013e-02,	2.5000273632e+00,	4.8631221926e+02,	4.7602441529e+02,	2.0575607931e-01
9.0000000000e-04,	3.4638341706e-02,	2.5000308270e+00,	4.8037565759e+02,	4.8460509392e+02,	-8.4588726648e-02
1.0000000000e-03,	3.4615817260e-02,	2.5000342899e+00,	4.7464688953e+02,	4.9284467937e+02,	-3.6395579697e-01
1.1000000000e-03,	3.4566008191e-02,	2.5000377492e+00,	4.6910040213e+02,	5.0053598654e+02,	-6.2871168812e-01
1.2000000000e-03,	3.4491042070e-02,	2.5000412023e+00,	4.6372012130e+02,	5.0712808550e+02,	-8.6815928402e-01
1.3000000000e-03,	3.4392749067e-02,	2.5000446466e+00,	4.5849499381e+02,	5.1330115356e+02,	-1.0961231950e+00
1.4000000000e-03,	3.4272103601e-02,	2.5000480801e+00,	4.5341713541e+02,	5.1919031100e+02,	-1.3154635119e+00
1.5000000000e-03,	3.4129905998e-02,	2.5000515003e+00,	4.4848080398e+02,	5.2484584557e+02,	-1.5273008317e+00
1.6000000000e-03,	3.3966871809e-02,	2.5000549054e+00,	4.4368175597e+02,	5.3029575359e+02,	-1.7322799526e+00
1.7000000000e-03,	3.3783664417e-02,	2.5000582930e+00,	4.3901683200e+02,	5.3555796809e+02,	-1.9308227217e+00
1.8000000000e-03,	3.3580911895e-02,	2.5000616614e+00,	4.3448367722e+02,	5.4064487537e+02,	-2.1232239630e+00
1.9000000000e-03,	3.3359217140e-02,	2.5000650086e+00,	4.3008054496e+02,	5.4556544141e+02,	-2.3096979289e+00
2.0000000000e-03,	3.3119164523e-02,	2.5000683327e+00,	4.2580615448e+02,	5.5032636472e+02,	-2.4904042047e+00
2.1000000000e-03,	3.2861324499e-02,	2.5000716318e+00,	4.2165958497e+02,	5.5493276347e+02,	-2.6654635700e+00
2.2000000000e-03,	3.2586256937e-02,	2.5000749044e+00,	4.1764019485e+02,	5.5938861395e+02,	-2.8349683821e+00
2.3000000000e-03,	3.2294513587e-02,	2.5000781485e+00,	4.1374755902e+02,	5.6369704525e+02,	-2.9989897246e+00
2.4000000000e-03,	3.1986639930e-02,	2.5000813627e+00,	4.0998141936e+02,	5.6786054559e+02,	-3.1575825246e+00
2.5000000000e-03,	3.1663176604e-02,	2.5000845453e+00,	4.0634164495e+02,	5.7188111168e+02,	-3.3107893345e+00
2.6000000000e-03,	3.1324660487e-02,	2.5000876949e+00,	4.0282819985e+02,	5.7576035978e+02,	-3.4586431985e+00
2.7000000000e-03,	3.0971625531e-02,	2.5000908098e+00,	3.9944111654e+02,	5.7949961023e+02,	-3.6011698739e+00
2.8000000000e-03,	3.0604603406e-02,	2.5000938887e+00,	3.9618047393e+02,	5.8309995310e+02,	-3.7383895834e+00
2.9000000000e-03,	3.0224123974e-02,	2.5000969303e+00,	3.9304637897e+02,	5.8656229993e+02,	-3.8703184192e+00
3.0000000000e-03,	2.9830715646e-02,	2.5000999331e+00,	3.9003895106e+02,	5.8988742524e+02,	-3.9969694836e+00
3.1000000000e-03,	2.9424905633e-02,	2.5001028960e+00,	3.8715830888e+02,	5.9307600018e+02,	-4.1183538260e+00
3.2000000000e-03,	2.9007220112e-02,	2.5001058177e+00,	3.8440455905e+02,	5.9612862008e+02,	-4.2344812207e+00
3.3000000000e-03,	2.8578184316e-02,	2.5001086971e+00,	3.8177778649e+02,	5.9904582737e+02,	-4.3453608177e+00
3.4000000000e-03,	2.8138322573e-02,	2.5001115330e+00,	3.7927804602e+02,	6.0182813063e+02,	-4.4510016923e+00
3.5000000000e-03,	2.7688158287e-02,	2.5001143244e+00,	3.7690535510e+02,	6.0447602065e+02,	-4.5514133111e+00
3.6000000000e-03,	2.7228213878e-02,	2.5001170703e+00,	3.7465968755e+02,	6.0698998406e+02,	-4.6466059302e+00
