t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	1.6700000000e-02,	2.5000000000e+00,	7.0000000000e+02,	4.0000000000e+02,	6.0000000000e+00
1.0000000000e-04,	1.7285527054e-02,	2.5000016995e+00,	6.9211112643e+02,	4.0659269491e+02,	5.7103686304e+00
2.0000000000e-04,	1.7842045276e-02,	2.5000034561e+00,	6.8419215916e+02,	4.1319796052e+02,	5.4198839727e+00
3.0000000000e-04,	1.8369487640e-02,	2.5000052670e+00,	6.7625132413e+02,	4.1980565894e+02,	5.1289133038e+00
4.0000000000e-04,	1.8867824224e-02,	2.5000071291e+00,	6.6829690549e+02,	4.2640532721e+02,	4.8378315656e+00
5.0000000000e-04,	1.9337063034e-02,	2.5000090396e+00,	6.6033724531e+02,	4.3298611482e+02,	4.5470226097e+00
6.0000000000e-04,	1.9777250974e-02,	2.5000109955e+00,	6.5238074430e+02,	4.3953669925e+02,	4.2568809009e+00
7.0000000000e-04,	2.0188475019e-02,	2.5000129940e+00,	6.4443586380e+02,	4.4604516988e+02,	3.9678138783e+00
8.0000000000e-04,	2.0570863674e-02,	2.5000150322e+00,	6.3651112926e+02,	4.5249886463e+02,	3.6802452925e+00
9.0000000000e-04,	2.0924588825e-02,	2.5000171073e+00,	6.2861513567e+02,	4.5888413329e+02,	3.3946200475e+00
1.0000000000e-03,	2.1249868196e-02,	2.5000192162e+00,	6.2075655525e+02,	4.6518598111e+02,	3.1114114828e+00
1.1000000000e-03,	2.1546968722e-02,	2.5000213563e+00,	6.1294414801e+02,	4.7138750475e+02,	2.8311328652e+00
1.2000000000e-03,	2.1816211418e-02,	2.5000235247e+00,	6.0518677592e+02,	4.7746893771e+02,	2.5543567642e+00
1.3000000000e-03,	2.2057978906e-02,	2.5000257186e+00,	5.9749342148e+02,	4.8340587471e+02,	2.2817509354e+00
1.4000000000e-03,	2.2272728232e-02,	2.5000279354e+00,	5.8987321179e+02,	4.8916546077e+02,	2.0141550203e+00
1.5000000000e-03,	2.2461016569e-02,	2.5000301723e+00,	5.8233544872e+02,	4.9469589437e+02,	1.7527910871e+00
