t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-1.6700000000e-02,	2.5000000000e+00,	4.5000000000e+02,	2.5000000000e+02,	4.0000000000e+00
1.0000000000e-04,	-1.6295863358e-02,	2.4999983501e+00,	4.5556766985e+02,	2.5147762720e+02,	4.0818008531e+00
2.0000000000e-04,	-1.5883828028e-02,	2.4999967411e+00,	4.6092300947e+02,	2.5302522806e+02,	4.1579556281e+00
3.0000000000e-04,	-1.5464464126e-02,	2.4999951736e+00,	4.6606131197e+02,	2.5464364317e+02,	4.2283533760e+00
4.0000000000e-04,	-1.5038353149e-02,	2.4999936484e+00,	4.7097742388e+02,	2.5633357845e+02,	4.2928769086e+00
5.0000000000e-04,	-1.4606088777e-02,	2.4999921662e+00,	4.7566555044e+02,	2.5809560358e+02,	4.3513989372e+00
6.0000000000e-04,	-1.4168278162e-02,	2.4999907274e+00,	4.8011895618e+02,	2.5993015011e+02,	4.4037761213e+00
7.0000000000e-04,	-1.3725543973e-02,	2.4999893327e+00,	4.8432947644e+02,	2.6183750929e+02,	4.4498393429e+00
8.0000000000e-04,	-1.3278527748e-02,	2.4999879824e+00,	4.8828665527e+02,	2.6381782935e+02,	4.4893765182e+00
9.0000000000e-04,	-1.2827895681e-02,	2.4999866771e+00,	4.9197603997e+02,	2.6587111193e+02,	4.5220985607e+00
1.0000000000e-03,	-1.2374349714e-02,	2.4999854169e+00,	4.9537513970e+02,	2.6799720682e+02,	4.5475586575e+00
1.1000000000e-03,	-1.1918653719e-02,	2.4999842023e+00,	4.9843978141e+02,	2.7019580324e+02,	4.5648795633e+00
1.2000000000e-03,	-1.1461779390e-02,	2.4999830333e+00,	5.0093260802e+02,	2.7246640876e+02,	4.5693239852e+00
1.3000000000e-03,	-1.1005213581e-02,	2.4999819099e+00,	5.0284366518e+02,	2.7480826205e+02,	4.5607080626e+00
1.4000000000e-03,	-1.0549859150e-02,	2.4999808322e+00,	5.0448965688e+02,	2.7722033724e+02,	4.5453863928e+00
1.5000000000e-03,	-1.0096321175e-02,	2.4999797999e+00,	5.0592666778e+02,	2.7970145902e+02,	4.5245041752e+00
1.6000000000e-03,	-9.6451236951e-03,	2.4999788128e+00,	5.0718307121e+02,	2.8225033431e+02,	4.4986547381e+00
1.7000000000e-03,	-9.1967423554e-03,	2.4999778708e+00,	5.0827749005e+02,	2.8486556573e+02,	4.4682384864e+00
