t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	5.0100000000e-02,	2.5000000000e+00,	3.5000000000e+02,	6.5000000000e+02,	-6.0000000000e+00
1.0000000000e-04,	4.9486914424e-02,	2.5000049796e+00,	3.4349209048e+02,	6.5650791381e+02,	-6.2603164666e+00
2.0000000000e-04,	4.8848216434e-02,	2.5000098965e+00,	3.3719398290e+02,	6.6280603374e+02,	-6.5122410168e+00
3.0000000000e-04,	4.8184747443e-02,	2.5000147484e+00,	3.3110679670e+02,	6.6889323962e+02,	-6.7557288584e+00
4.0000000000e-04,	4.7497353432e-02,	2.5000195327e+00,	3.2523169126e+02,	6.7476837133e+02,	-6.9907336014e+00
5.0000000000e-04,	4.6786885056e-02,	2.5000242471e+00,	3.1956983828e+02,	6.8043025643e+02,	-7.2172083629e+00
6.0000000000e-04,	4.6054197641e-02,	2.5000288893e+00,	3.1412239847e+02,	6.8587773353e+02,	-7.4351067012e+00
7.0000000000e-04,	4.5300151105e-02,	2.5000334572e+00,	3.0889050159e+02,	6.9110967216e+02,	-7.6443834113e+00
8.0000000000e-04,	4.4525609792e-02,	2.5000379487e+00,	3.0387522944e+02,	6.9612498985e+02,	-7.8449952084e+00
9.0000000000e-04,	4.3731442256e-02,	2.5000423617e+00,	2.9907760108e+02,	7.0092266688e+02,	-8.0369013159e+00
1.0000000000e-03,	4.2918520981e-02,	2.5000466943e+00,	2.9449856012e+02,	7.0550175900e+02,	-8.2200639776e+00
1.1000000000e-03,	4.2087722056e-02,	2.5000509448e+00,	2.9013896353e+02,	7.0986140862e+02,	-8.3944489018e+00
1.2000000000e-03,	4.1239924811e-02,	2.5000551113e+00,	2.8599957194e+02,	7.1400085446e+02,	-8.5600256504e+00
1.3000000000e-03,	4.0376011412e-02,	2.5000591922e+00,	2.8208104117e+02,	7.1791944014e+02,	-8.7167679794e+00
1.4000000000e-03,	3.9496866426e-02,	2.5000631860e+00,	2.7838391469e+02,	7.2161662160e+02,	-8.8646541383e+00
1.5000000000e-03,	3.8603376362e-02,	2.5000670911e+00,	2.7490861709e+02,	7.2509197369e+02,	-9.0036671321e+00
1.6000000000e-03,	3.7696429178e-02,	2.5000709062e+00,	2.7165544832e+02,	7.2834519593e+02,	-9.1337949523e+00
1.7000000000e-03,	3.6776913777e-02,	2.5000746300e+00,	2.6862457862e+02,	7.3137611756e+02,	-9.2550307788e+00
1.8000000000e-03,	3.5845719477e-02,	2.5000782612e+00,	2.6581604410e+02,	7.3418470197e+02,	-9.3673731574e+00
1.9000000000e-03,	3.4903735465e-02,	2.5000817988e+00,	2.6322974288e+02,	7.3677105057e+02,	-9.4708261538e+00
