t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	6.6800000000e-02,	2.5000000000e+00,	2.5000000000e+02,	6.5000000000e+02,	-8.0000000000e+00
1.0000000000e-04,	6.5981119458e-02,	2.5000066394e+00,	2.4115013595e+02,	6.5993883508e+02,	-8.3757739828e+00
2.0000000000e-04,	6.5125213939e-02,	2.5000131950e+00,	2.3255876795e+02,	6.6958305078e+02,	-8.7404856567e+00
3.0000000000e-04,	6.4233393950e-02,	2.5000196632e+00,	2.2422963960e+02,	6.7893206321e+02,	-9.0940484722e+00
4.0000000000e-04,	6.3306778914e-02,	2.5000260405e+00,	2.1616640650e+02,	6.8798496283e+02,	-9.4363711266e+00
5.0000000000e-04,	6.2346497526e-02,	2.5000323234e+00,	2.0837261886e+02,	6.9674060551e+02,	-9.7673597330e+00
6.0000000000e-04,	6.1353687926e-02,	2.5000385087e+00,	2.0085170623e+02,	7.0519768529e+02,	-1.0086919581e+01
7.0000000000e-04,	6.0329497706e-02,	2.5000445931e+00,	1.9360696396e+02,	7.1335479330e+02,	-1.0394956587e+01
8.0000000000e-04,	5.9275083782e-02,	2.5000505736e+00,	1.8664154117e+02,	7.2121046616e+02,	-1.0691378500e+01
9.0000000000e-04,	5.8191612160e-02,	2.5000564472e+00,	1.7995843008e+02,	7.2876322617e+02,	-1.0976095922e+01
1.0000000000e-03,	5.7080257608e-02,	2.5000622110e+00,	1.7356045633e+02,	7.3601161494e+02,	-1.1249023172e+01
1.1000000000e-03,	5.5942203245e-02,	2.5000678623e+00,	1.6745027049e+02,	7.4295422193e+02,	-1.1510079029e+01
1.2000000000e-03,	5.4778640059e-02,	2.5000733986e+00,	1.6163034025e+02,	7.4958970867e+02,	-1.1759187368e+01
1.3000000000e-03,	5.3590766377e-02,	2.5000788173e+00,	1.5610294354e+02,	7.5591682962e+02,	-1.1996277722e+01
1.4000000000e-03,	5.2379787266e-02,	2.5000841160e+00,	1.5087016230e+02,	7.6193445010e+02,	-1.2221285756e+01
1.5000000000e-03,	5.1146913903e-02,	2.5000892925e+00,	1.4593387688e+02,	7.6764156191e+02,	-1.2434153701e+01
1.6000000000e-03,	4.9893362899e-02,	2.5000943447e+00,	1.4129576103e+02,	7.7303729679e+02,	-1.2634830715e+01
1.7000000000e-03,	4.8620355586e-02,	2.5000992705e+00,	1.3695727745e+02,	7.7812093834e+02,	-1.2823273218e+01
1.8000000000e-03,	4.7329117282e-02,	2.5001040681e+00,	1.3291967381e+02,	7.8289193226e+02,	-1.2999445169e+01
1.9000000000e-03,	4.6020876521e-02,	2.5001087358e+00,	1.2918397922e+02,	7.8734989546e+02,	-1.3163318325e+01
2.0000000000e-03,	4.4696864260e-02,	2.5001132718e+00,	1.2575100115e+02,	7.9149462393e+02,	-1.3314872456e+01
2.1000000000e-03,	4.3358313074e-02,	2.5001176747e+00,	1.2262132276e+02,	7.9532609967e+02,	-1.3454095538e+01
2.2000000000e-03,	4.2006456319e-02,	2.5001219430e+00,	1.1979530058e+02,	7.9884449673e+02,	-1.3580983923e+01
2.3000000000e-03,	4.0642527293e-02,	2.5001260756e+00,	1.1727306258e+02,	8.0205018647e+02,	-1.3695542478e+01
2.4000000000e-03,	3.9267758377e-02,	2.5001300712e+00,	1.1505450659e+02,	8.0494374204e+02,	-1.3797784709e+01
2.5000000000e-03,	3.7883380164e-02,	2.5001339288e+00,	1.1313929897e+02,	8.0752594231e+02,	-1.3887732867e+01
2.6000000000e-03,	3.6490620580e-02,	2.5001376475e+00,	1.1152687374e+02,	8.0979777515e+02,	-1.3965418028e+01
2.7000000000e-03,	3.5090704002e-02,	2.5001412267e+00,	1.1021643186e+02,	8.1176044017e+02,	-1.4030880166e+01
2.8000000000e-03,	3.3684850360e-02,	2.5001446655e+00,	1.0920694090e+02,	8.1341535101e+02,	-1.4084168202e+01
2.9000000000e-03,	3.2274274245e-02,	2.5001479635e+00,	1.0849713495e+02,	8.1476413711e+02,	-1.4125340043e+01
3.0000000000e-03,	3.0860184004e-02,	2.5001511202e+00,	1.0808551479e+02,	8.1580864510e+02,	-1.4154462606e+01
3.1000000000e-03,	2.9443780845e-02,	2.5001541354e+00,	1.0797034840e+02,	8.1655093976e+02,	-1.4171611827e+01
3.2000000000e-03,	2.8026257928e-02,	2.5001570089e+00,	1.0814967158e+02,	8.1699330459e+02,	-1.4176872660e+01
3.3000000000e-03,	2.6608799471e-02,	2.5001597407e+00,	1.0862128898e+02,	8.1713824212e+02,	-1.4170339063e+01
3.4000000000e-03,	2.5192579842e-02,	2.5001623307e+00,	1.0938277524e+02,	8.1698847373e+02,	-1.4152113970e+01
3.5000000000e-03,	2.3778762674e-02,	2.5001647793e+00,	1.1043147643e+02,	8.1654693932e+02,	-1.4122309258e+01
3.6000000000e-03,	2.2368499962e-02,	2.5001670866e+00,	1.1176451169e+02,	8.1581679659e+02,	-1.4081045698e+01
3.7000000000e-03,	2.0962931185e-02,	2.5001692531e+00,	1.1337877513e+02,	8.1480142004e+02,	-1.4028452898e+01
3.8000000000e-03,	1.9563182421e-02,	2.5001712794e+00,	1.1527093784e+02,	8.1350439976e+02,	-1.3964669238e+01
3.9000000000e-03,	1.8170365473e-02,	2.5001731660e+00,	1.1743745024e+02,	8.1192953991e+02,	-1.3889841793e+01
4.0000000000e-03,	1.6785577008e-02,	2.5001749137e+00,	1.1987454453e+02,	8.1008085698e+02,	-1.3804126249e+01
4.1000000000e-03,	1.5409897696e-02,	2.5001765234e+00,	1.2257823738e+02,	8.0796257785e+02,	-1.3707686809e+01
4.2000000000e-03,	1.4044391365e-02,	2.5001779961e+00,	1.2554433278e+02,	8.0557913759e+02,	-1.3600696096e+01
4.3000000000e-03,	1.2690104164e-02,	2.5001793327e+00,	1.2876842508e+02,	8.0293517712e+02,	-1.3483335041e+01
4.4000000000e-03,	1.1348063740e-02,	2.5001805345e+00,	1.3224590222e+02,	8.0003554060e+02,	-1.3355792768e+01
4.5000000000e-03,	1.0019278420e-02,	2.5001816027e+00,	1.3597194910e+02,	7.9688527271e+02,	-1.3218266472e+01
4.6000000000e-03,	8.7047364166e-03,	2.5001825388e+00,	1.3994155111e+02,	7.9348961574e+02,	-1.3070961293e+01
4.7000000000e-03,	7.4054050348e-03,	2.5001833442e+00,	1.4414949785e+02,	7.8985400651e+02,	-1.2914090173e+01
4.8000000000e-03,	6.1222299013e-03,	2.5001840204e+00,	1.4859038693e+02,	7.8598407322e+02,	-1.2747873726e+01
4.9000000000e-03,	4.8561342044e-03,	2.5001845692e+00,	1.5325862795e+02,	7.8188563203e+02,	-1.2572540082e+01
5.0000000000e-03,	3.6080179495e-03,	2.5001849923e+00,	1.5814844664e+02,	7.7756468373e+02,	-1.2388324742e+01
5.1000000000e-03,	2.3787572298e-03,	2.5001852914e+00,	1.6325388898e+02,	7.7302741010e+02,	-1.2195470422e+01
5.2000000000e-03,	1.1692035129e-03,	2.5001854687e+00,	1.6856882562e+02,	7.6828017037e+02,	-1.1994226895e+01
5.3000000000e-03,	-1.9817056904e-05,	2.5001855260e+00,	1.7408695625e+02,	7.6332949747e+02,	-1.1784850824e+01
5.4000000000e-03,	-1.1875043397e-03,	2.5001854654e+00,	1.7980181412e+02,	7.5818209436e+02,	-1.1567605605e+01
5.5000000000e-03,	-2.3330848643e-03,	2.5001852892e+00,	1.8570677062e+02,	7.5284483023e+02,	-1.1342761192e+01
5.6000000000e-03,	-3.4558124764e-03,	2.5001849996e+00,	1.9179503993e+02,	7.4732473677e+02,	-1.1110593937e+01
5.7000000000e-03,	-4.5549689693e-03,	2.5001845988e+00,	1.9805968375e+02,	7.4162900442e+02,	-1.0871386414e+01
