t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-1.6700000000e-02,	2.5000000000e+00,	6.0000000000e+02,	2.5000000000e+02,	7.0000000000e+00
1.0000000000e-04,	-1.6001172694e-02,	2.4999983650e+00,	6.0028893894e+02,	2.5150835776e+02,	6.9756116236e+00
2.0000000000e-04,	-1.5305062998e-02,	2.4999967997e+00,	6.0042946417e+02,	2.5314627990e+02,	6.9456636855e+00
3.0000000000e-04,	-1.4612222044e-02,	2.4999953038e+00,	6.0042448121e+02,	2.5491181958e+02,	6.9102532326e+00
4.0000000000e-04,	-1.3923191089e-02,	2.4999938771e+00,	6.0027696128e+02,	2.5680292250e+02,	6.8694807757e+00
5.0000000000e-04,	-1.3238501161e-02,	2.4999925191e+00,	5.9998994300e+02,	2.5881742903e+02,	6.8234502794e+00
6.0000000000e-04,	-1.2558672725e-02,	2.4999912292e+00,	5.9956653367e+02,	2.6095307648e+02,	6.7722691436e+00
7.0000000000e-04,	-1.1884215331e-02,	2.4999900071e+00,	5.9900991019e+02,	2.6320750141e+02,	6.7160481757e+00
8.0000000000e-04,	-1.1215627281e-02,	2.4999888522e+00,	5.9832331972e+02,	2.6557824194e+02,	6.6549015555e+00
9.0000000000e-04,	-1.0553395295e-02,	2.4999877638e+00,	5.9751007995e+02,	2.6806274025e+02,	6.5889467940e+00
1.0000000000e-03,	-9.8979941712e-03,	2.4999867413e+00,	5.9657357925e+02,	2.7065834501e+02,	6.5183046847e+00
1.1000000000e-03,	-9.2498864719e-03,	2.4999857840e+00,	5.9551727652e+02,	2.7336231400e+02,	6.4430992504e+00
1.2000000000e-03,	-8.6095221956e-03,	2.4999848911e+00,	5.9434470091e+02,	2.7617181667e+02,	6.3634576848e+00
1.3000000000e-03,	-7.9773384660e-03,	2.4999840618e+00,	5.9305945132e+02,	2.7908393685e+02,	6.2795102894e+00
1.4000000000e-03,	-7.3537592239e-03,	2.4999832953e+00,	5.9166519580e+02,	2.8209567545e+02,	6.1913904069e+00
1.5000000000e-03,	-6.7391949269e-03,	2.4999825907e+00,	5.9016567083e+02,	2.8520395327e+02,	6.0992343511e+00
1.6000000000e-03,	-6.1340422556e-03,	2.4999819472e+00,	5.8856468051e+02,	2.8840561381e+02,	6.0031813339e+00
1.7000000000e-03,	-5.5386838274e-03,	2.4999813636e+00,	5.8686609566e+02,	2.9169742616e+02,	5.9033733898e+00
1.8000000000e-03,	-4.9534879188e-03,	2.4999808391e+00,	5.8507385287e+02,	2.9507608793e+02,	5.7999552989e+00
1.9000000000e-03,	-4.3788081939e-03,	2.4999803726e+00,	5.8319195357e+02,	2.9853822818e+02,	5.6930745079e+00
2.0000000000e-03,	-3.8149834422e-03,	2.4999799630e+00,	5.8122446305e+02,	3.0208041048e+02,	5.5828810513e+00
2.1000000000e-03,	-3.2623373238e-03,	2.4999796092e+00,	5.7917550949e+02,	3.0569913593e+02,	5.4695274712e+00
2.2000000000e-03,	-2.7211781223e-03,	2.4999793101e+00,	5.7704928313e+02,	3.0939084620e+02,	5.3531687386e+00
2.3000000000e-03,	-2.1917985062e-03,	2.4999790646e+00,	5.7485003545e+02,	3.1315192670e+02,	5.2339621752e+00
2.4000000000e-03,	-1.6744752975e-03,	2.4999788713e+00,	5.7258207849e+02,	3.1697870964e+02,	5.1120673771e+00
2.5000000000e-03,	-1.1694692478e-03,	2.4999787292e+00,	5.7024978433e+02,	3.2086747722e+02,	4.9876461422e+00
2.6000000000e-03,	-6.7702482163e-04,	2.4999786370e+00,	5.6785758481e+02,	3.2481446481e+02,	4.8608624000e+00
2.7000000000e-03,	-1.9736998700e-04,	2.4999785934e+00,	5.6540997145e+02,	3.2881586406e+02,	4.7318821477e+00
2.8000000000e-03,	2.6928398897e-04,	2.4999785971e+00,	5.6291149579e+02,	3.3286782617e+02,	4.6008733924e+00
2.9000000000e-03,	7.2274273814e-04,	2.4999786468e+00,	5.6036677005e+02,	3.3696646501e+02,	4.4680061008e+00
3.0000000000e-03,	1.1628289854e-03,	2.4999787412e+00,	5.5778046837e+02,	3.4110786036e+02,	4.3334521601e+00
3.1000000000e-03,	1.5893827391e-03,	2.4999788789e+00,	5.5515732857e+02,	3.4528806105e+02,	4.1973853502e+00
