t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	6.6800000000e-02,	2.5000000000e+00,	2.5000000000e+02,	7.5000000000e+02,	-1.0000000000e+01
1.0000000000e-04,	6.5782242322e-02,	2.5000066294e+00,	2.4117079140e+02,	7.5882921636e+02,	-1.0353168499e+01
2.0000000000e-04,	6.4729765269e-02,	2.5000131553e+00,	2.3264081473e+02,	7.6735921533e+02,	-1.0694368012e+01
3.0000000000e-04,	6.3643771539e-02,	2.5000195742e+00,	2.2441295625e+02,	7.7558710925e+02,	-1.1023483060e+01
4.0000000000e-04,	6.2525475214e-02,	2.5000258830e+00,	2.1649001803e+02,	7.8351009465e+02,	-1.1340401532e+01
5.0000000000e-04,	6.1376101387e-02,	2.5000320783e+00,	2.0887469734e+02,	7.9112547288e+02,	-1.1645015511e+01
6.0000000000e-04,	6.0196885702e-02,	2.5000381572e+00,	2.0156956868e+02,	7.9843066810e+02,	-1.1937221988e+01
7.0000000000e-04,	5.8989073829e-02,	2.5000441167e+00,	1.9457706807e+02,	8.0542324295e+02,	-1.2216923498e+01
8.0000000000e-04,	5.7753920888e-02,	2.5000499541e+00,	1.8789947922e+02,	8.1210091243e+02,	-1.2484028664e+01
9.0000000000e-04,	5.6492690808e-02,	2.5000556666e+00,	1.8153892136e+02,	8.1846155603e+02,	-1.2738452693e+01
1.0000000000e-03,	5.5206655654e-02,	2.5000612518e+00,	1.7549733847e+02,	8.2450322856e+02,	-1.2980117802e+01
1.1000000000e-03,	5.3897094900e-02,	2.5000667072e+00,	1.6977648968e+02,	8.3022416967e+02,	-1.3208953600e+01
1.2000000000e-03,	5.2565294676e-02,	2.5000720305e+00,	1.6437794085e+02,	8.3562281232e+02,	-1.3424897429e+01
1.3000000000e-03,	5.1212546977e-02,	2.5000772195e+00,	1.5930305705e+02,	8.4069779033e+02,	-1.3627894666e+01
1.4000000000e-03,	4.9840148849e-02,	2.5000822723e+00,	1.5455299585e+02,	8.4544794501e+02,	-1.3817898983e+01
1.5000000000e-03,	4.8449401547e-02,	2.5000871870e+00,	1.5012870148e+02,	8.4987233110e+02,	-1.3994872592e+01
1.6000000000e-03,	4.7041609666e-02,	2.5000919617e+00,	1.4603089959e+02,	8.5397022193e+02,	-1.4158786447e+01
1.7000000000e-03,	4.5618080263e-02,	2.5000965948e+00,	1.4226009269e+02,	8.5774111400e+02,	-1.4309620426e+01
1.8000000000e-03,	4.4180121955e-02,	2.5001010848e+00,	1.3881655620e+02,	8.6118473101e+02,	-1.4447363496e+01
1.9000000000e-03,	4.2729043998e-02,	2.5001054304e+00,	1.3570033492e+02,	8.6430102726e+02,	-1.4572013847e+01
2.0000000000e-03,	4.1266155369e-02,	2.5001096302e+00,	1.3291124016e+02,	8.6709019062e+02,	-1.4683579009e+01
2.1000000000e-03,	3.9792763814e-02,	2.5001136832e+00,	1.3044884720e+02,	8.6955264503e+02,	-1.4782075957e+01
2.2000000000e-03,	3.8310174912e-02,	2.5001175884e+00,	1.2831249323e+02,	8.7168905258e+02,	-1.4867531187e+01
2.3000000000e-03,	3.6819691109e-02,	2.5001213450e+00,	1.2650127575e+02,	8.7350031511e+02,	-1.4939980787e+01
2.4000000000e-03,	3.5322610762e-02,	2.5001249522e+00,	1.2501405127e+02,	8.7498757547e+02,	-1.4999470484e+01
2.5000000000e-03,	3.3820227173e-02,	2.5001284093e+00,	1.2384943442e+02,	8.7615221848e+02,	-1.5046055681e+01
2.6000000000e-03,	3.2313827616e-02,	2.5001317161e+00,	1.2300579742e+02,	8.7699587141e+02,	-1.5079801480e+01
2.7000000000e-03,	3.0804692374e-02,	2.5001348720e+00,	1.2248126985e+02,	8.7752040422e+02,	-1.5100782687e+01
2.8000000000e-03,	2.9294093759e-02,	2.5001378770e+00,	1.2227373877e+02,	8.7772792945e+02,	-1.5109083814e+01
2.9000000000e-03,	2.7783295151e-02,	2.5001407308e+00,	1.2238084911e+02,	8.7762080182e+02,	-1.5104799054e+01
3.0000000000e-03,	2.6273550027e-02,	2.5001434337e+00,	1.2280000438e+02,	8.7720161755e+02,	-1.5088032263e+01
3.1000000000e-03,	2.4766100995e-02,	2.5001459856e+00,	1.2352836764e+02,	8.7647321333e+02,	-1.5058896914e+01
3.2000000000e-03,	2.3262178838e-02,	2.5001483870e+00,	1.2456286274e+02,	8.7543866513e+02,	-1.5017516048e+01
3.3000000000e-03,	2.1763001561e-02,	2.5001506382e+00,	1.2590017584e+02,	8.7410128668e+02,	-1.4964022217e+01
3.4000000000e-03,	2.0269773438e-02,	2.5001527398e+00,	1.2753675714e+02,	8.7246462769e+02,	-1.4898557411e+01
3.5000000000e-03,	1.8783684077e-02,	2.5001546924e+00,	1.2946882288e+02,	8.7053247192e+02,	-1.4821272981e+01
3.6000000000e-03,	1.7305907485e-02,	2.5001564968e+00,	1.3169235757e+02,	8.6830883488e+02,	-1.4732329546e+01
3.7000000000e-03,	1.5837601151e-02,	2.5001581539e+00,	1.3420311640e+02,	8.6579796148e+02,	-1.4631896902e+01
3.8000000000e-03,	1.4379905127e-02,	2.5001596647e+00,	1.3699662791e+02,	8.6300432330e+02,	-1.4520153908e+01
3.9000000000e-03,	1.2933941130e-02,	2.5001610303e+00,	1.4006819683e+02,	8.5993261580e+02,	-1.4397288379e+01
4.0000000000e-03,	1.1500811657e-02,	2.5001622519e+00,	1.4341290712e+02,	8.5658775524e+02,	-1.4263496962e+01
4.1000000000e-03,	1.0081599099e-02,	2.5001633309e+00,	1.4702562522e+02,	8.5297487549e+02,	-1.4118985005e+01
4.2000000000e-03,	8.6773648859e-03,	2.5001642687e+00,	1.5090100340e+02,	8.4909932457e+02,	-1.3963966423e+01
4.3000000000e-03,	7.2891486329e-03,	2.5001650669e+00,	1.5503348335e+02,	8.4496666115e+02,	-1.3798663556e+01
4.4000000000e-03,	5.9179673060e-03,	2.5001657271e+00,	1.5941729991e+02,	8.4058265082e+02,	-1.3623307018e+01
4.5000000000e-03,	4.5648144025e-03,	2.5001662511e+00,	1.6404648488e+02,	8.3595326219e+02,	-1.3438135546e+01
4.6000000000e-03,	3.2306591466e-03,	2.5001666407e+00,	1.6891487104e+02,	8.3108466297e+02,	-1.3243395839e+01
4.7000000000e-03,	1.9164457013e-03,	2.5001668979e+00,	1.7401609627e+02,	8.2598321581e+02,	-1.3039342391e+01
4.8000000000e-03,	6.2309239727e-04,	2.5001670247e+00,	1.7934360771e+02,	8.2065547409e+02,	-1.2826237328e+01
4.9000000000e-03,	-6.4850902170e-04,	2.5001670232e+00,	1.8489066609e+02,	8.1510817766e+02,	-1.2604350232e+01
5.0000000000e-03,	-1.8974941355e-03,	2.5001668958e+00,	1.9065035014e+02,	8.0934824841e+02,	-1.2373957965e+01
5.1000000000e-03,	-3.1230265670e-03,	2.5001666445e+00,	1.9661556098e+02,	8.0338278583e+02,	-1.2135344497e+01
5.2000000000e-03,	-4.3242986837e-03,	2.5001662720e+00,	2.0277902665e+02,	7.9721906253e+02,	-1.1888800718e+01
5.3000000000e-03,	-5.5005322808e-03,	2.5001657805e+00,	2.0913330660e+02,	7.9086451975e+02,	-1.1634624263e+01
5.4000000000e-03,	-6.6509792467e-03,	2.5001651727e+00,	2.1567079621e+02,	7.8432676279e+02,	-1.1373119332e+01
5.5000000000e-03,	-7.7749222103e-03,	2.5001644512e+00,	2.2238373130e+02,	7.7761355654e+02,	-1.1104596505e+01
5.6000000000e-03,	-8.8716751707e-03,	2.5001636186e+00,	2.2926419256e+02,	7.7073282105e+02,	-1.0829372570e+01
5.7000000000e-03,	-9.9405841081e-03,	2.5001626778e+00,	2.3630410993e+02,	7.6369262710e+02,	-1.0547770343e+01
5.8000000000e-03,	-1.0981027579e-02,	2.5001616315e+00,	2.4349526689e+02,	7.5650119197e+02,	-1.0260118502e+01
5.9000000000e-03,	-1.1992417294e-02,	2.5001604825e+00,	2.5082930453e+02,	7.4916687531e+02,	-9.9667514155e+00
6.0000000000e-03,	-1.2974198678e-02,	2.5001592340e+00,	2.5829772553e+02,	7.4169817522e+02,	-9.6680089938e+00
6.1000000000e-03,	-1.3925851419e-02,	2.5001578887e+00,	2.6589189780e+02,	7.3410372456e+02,	-9.3642365353e+00
6.2000000000e-03,	-1.4846889997e-02,	2.5001564498e+00,	2.7360305787e+02,	7.2639228756e+02,	-9.0557845940e+00
6.3000000000e-03,	-1.5736864206e-02,	2.5001549204e+00,	2.8142231391e+02,	7.1857275683e+02,	-8.7430088585e+00
6.4000000000e-03,	-1.6595359661e-02,	2.5001533035e+00,	2.8934064827e+02,	7.1065415080e+02,	-8.4262700506e+00
6.5000000000e-03,	-1.7421998297e-02,	2.5001516024e+00,	2.9734891947e+02,	7.0264561173e+02,	-8.1059338451e+00
6.6000000000e-03,	-1.8216438864e-02,	2.5001498202e+00,	3.0543786351e+02,	6.9455640437e+02,	-7.7823708172e+00
6.7000000000e-03,	-1.8978377410e-02,	2.5001479602e+00,	3.1359809439e+02,	6.8639591552e+02,	-7.4559564226e+00
6.8000000000e-03,	-1.9707547776e-02,	2.5001460256e+00,	3.2182010358e+02,	6.7817365447e+02,	-7.1270710178e+00
6.9000000000e-03,	-2.0403722085e-02,	2.5001440197e+00,	3.3009425833e+02,	6.6989925475e+02,	-6.7960999285e+00
7.0000000000e-03,	-2.1066711247e-02,	2.5001419459e+00,	3.3841079841e+02,	6.6158247735e+02,	-6.4634335787e+00
