t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	8.3500000000e-02,	2.5000000000e+00,	5.5000000000e+02,	3.5000000000e+02,	4.0000000000e+00
1.0000000000e-04,	8.3859445943e-02,	2.5000083686e+00,	5.3062457095e+02,	3.7107782308e+02,	3.1909349574e+00
2.0000000000e-04,	8.4138654126e-02,	2.5000167692e+00,	5.1173442747e+02,	3.9193450284e+02,	2.3959984927e+00
3.0000000000e-04,	8.4339470742e-02,	2.5000251938e+00,	4.9393880194e+02,	4.1253041983e+02,	1.6281676422e+00
4.0000000000e-04,	8.4465434323e-02,	2.5000336346e+00,	4.7754114684e+02,	4.3281935323e+02,	8.9443587228e-01
5.0000000000e-04,	8.4518948896e-02,	2.5000420844e+00,	4.6167593711e+02,	4.5274351518e+02,	1.7864843858e-01
6.0000000000e-04,	8.4501722136e-02,	2.5000505360e+00,	4.4620519296e+02,	4.7222113566e+02,	-5.2031885401e-01
7.0000000000e-04,	8.4415501044e-02,	2.5000589825e+00,	4.3107149976e+02,	4.9110364953e+02,	-1.2006429954e+00
8.0000000000e-04,	8.4262653839e-02,	2.5000674169e+00,	4.1624423999e+02,	5.0863655068e+02,	-1.8478462139e+00
9.0000000000e-04,	8.4046927907e-02,	2.5000758329e+00,	4.0170539505e+02,	5.2487992237e+02,	-2.4634905463e+00
1.0000000000e-03,	8.3770512200e-02,	2.5000842243e+00,	3.8744396955e+02,	5.4055867839e+02,	-3.0622941768e+00
1.1000000000e-03,	8.3434945132e-02,	2.5000925850e+00,	3.7345350071e+02,	5.5579246499e+02,	-3.6467792857e+00
1.2000000000e-03,	8.3041594520e-02,	2.5001009094e+00,	3.5973057832e+02,	5.7063574230e+02,	-4.2181032795e+00
1.3000000000e-03,	8.2591741601e-02,	2.5001091915e+00,	3.4627392806e+02,	5.8511917892e+02,	-4.7769050171e+00
1.4000000000e-03,	8.2086618407e-02,	2.5001174259e+00,	3.3308381422e+02,	5.9926155771e+02,	-5.3235548697e+00
1.5000000000e-03,	8.1527428586e-02,	2.5001256070e+00,	3.2016163165e+02,	6.1307475978e+02,	-5.8582625626e+00
1.6000000000e-03,	8.0915360382e-02,	2.5001337296e+00,	3.0750961608e+02,	6.2656628137e+02,	-6.3811333058e+00
1.7000000000e-03,	8.0251595316e-02,	2.5001417884e+00,	2.9513063173e+02,	6.3974066350e+02,	-6.8922006355e+00
1.8000000000e-03,	7.9537314238e-02,	2.5001497782e+00,	2.8302801130e+02,	6.5260037347e+02,	-7.3914472432e+00
1.9000000000e-03,	7.8773701666e-02,	2.5001576942e+00,	2.7120543272e+02,	6.6514638244e+02,	-7.8788189944e+00
2.0000000000e-03,	7.7961948949e-02,	2.5001655314e+00,	2.5966682209e+02,	6.7737856238e+02,	-8.3542348058e+00
2.1000000000e-03,	7.7103256581e-02,	2.5001732850e+00,	2.4841627606e+02,	6.8929596919e+02,	-8.8175938625e+00
2.2000000000e-03,	7.6198835894e-02,	2.5001809505e+00,	2.3745799876e+02,	7.0089705130e+02,	-9.2687810507e+00
2.3000000000e-03,	7.5249910266e-02,	2.5001885233e+00,	2.2679624970e+02,	7.1217980722e+02,	-9.7076711504e+00
2.4000000000e-03,	7.4257715963e-02,	2.5001959990e+00,	2.1643530035e+02,	7.2314190741e+02,	-1.0134132141e+01
2.5000000000e-03,	7.3223502679e-02,	2.5002033734e+00,	2.0637939751e+02,	7.3378079024e+02,	-1.0548027855e+01
2.6000000000e-03,	7.2148533840e-02,	2.5002106424e+00,	1.9663273207e+02,	7.4409373897e+02,	-1.0949220138e+01
2.7000000000e-03,	7.1034086712e-02,	2.5002178018e+00,	1.8719941213e+02,	7.5407794426e+02,	-1.1337570643e+01
2.8000000000e-03,	6.9881452342e-02,	2.5002248479e+00,	1.7808343975e+02,	7.6373055578e+02,	-1.1712942321e+01
2.9000000000e-03,	6.8691935362e-02,	2.5002317769e+00,	1.6928869063e+02,	7.7304872519e+02,	-1.2075200691e+01
3.0000000000e-03,	6.7466853680e-02,	2.5002385851e+00,	1.6081889626e+02,	7.8202964231e+02,	-1.2424214921e+01
3.1000000000e-03,	6.6207538064e-02,	2.5002452691e+00,	1.5267762821e+02,	7.9067056589e+02,	-1.2759858754e+01
3.2000000000e-03,	6.4915331645e-02,	2.5002518255e+00,	1.4486828418e+02,	7.9896884996e+02,	-1.3082011316e+01
3.3000000000e-03,	6.3591589343e-02,	2.5002582511e+00,	1.3739407559e+02,	8.0692196659e+02,	-1.3390557820e+01
3.4000000000e-03,	6.2237677227e-02,	2.5002645428e+00,	1.3025801649e+02,	8.1452752555e+02,	-1.3685390181e+01
3.5000000000e-03,	6.0854971815e-02,	2.5002706977e+00,	1.2346291367e+02,	8.2178329158e+02,	-1.3966407558e+01
3.6000000000e-03,	5.9444859328e-02,	2.5002767129e+00,	1.1701135781e+02,	8.2868719941e+02,	-1.4233516832e+01
3.7000000000e-03,	5.8008734894e-02,	2.5002825858e+00,	1.1090571549e+02,	8.3523736704e+02,	-1.4486633031e+01
3.8000000000e-03,	5.6548001716e-02,	2.5002883138e+00,	1.0514812214e+02,	8.4143210740e+02,	-1.4725679705e+01
3.9000000000e-03,	5.5064070201e-02,	2.5002938946e+00,	9.9740475644e+01,	8.4726993863e+02,	-1.4950589260e+01
4.0000000000e-03,	5.3558357060e-02,	2.5002993259e+00,	9.4684430649e+01,	8.5274959323e+02,	-1.5161303252e+01
4.1000000000e-03,	5.2032284381e-02,	2.5003046056e+00,	8.9981393534e+01,	8.5787002604e+02,	-1.5357772650e+01
4.2000000000e-03,	5.0487278673e-02,	2.5003097317e+00,	8.5632517930e+01,	8.6263042135e+02,	-1.5539958068e+01
4.3000000000e-03,	4.8924769895e-02,	2.5003147025e+00,	8.1638700779e+01,	8.6703019917e+02,	-1.5707829968e+01
4.4000000000e-03,	4.7346190459e-02,	2.5003195162e+00,	7.8000578909e+01,	8.7106902063e+02,	-1.5861368834e+01
4.5000000000e-03,	4.5752974219e-02,	2.5003241712e+00,	7.4718526064e+01,	8.7474679281e+02,	-1.6000565335e+01
