t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-5.0100000000e-02,	2.5000000000e+00,	3.5000000000e+02,	3.5000000000e+02,	0.0000000000e+00
1.0000000000e-04,	-5.0079248325e-02,	2.4999949907e+00,	3.6413631834e+02,	3.4343047856e+02,	4.1411679566e-01
2.0000000000e-04,	-5.0017367060e-02,	2.4999899855e+00,	3.7807668203e+02,	3.3695065677e+02,	8.2252050507e-01
3.0000000000e-04,	-4.9914949172e-02,	2.4999849886e+00,	3.9180502833e+02,	3.3056627276e+02,	1.2247751114e+00
4.0000000000e-04,	-4.9772632176e-02,	2.4999800039e+00,	4.0530426231e+02,	3.2428302756e+02,	1.6204246951e+00
5.0000000000e-04,	-4.9591100452e-02,	2.4999750354e+00,	4.1855588906e+02,	3.1810656431e+02,	2.0089864950e+00
6.0000000000e-04,	-4.9371088423e-02,	2.4999700869e+00,	4.3153945540e+02,	3.1204244865e+02,	2.3899401351e+00
7.0000000000e-04,	-4.9113385121e-02,	2.4999651624e+00,	4.4423165578e+02,	3.0609614970e+02,	2.7627101216e+00
8.0000000000e-04,	-4.8818841069e-02,	2.4999602655e+00,	4.5660479277e+02,	3.0027302118e+02,	3.1266354319e+00
9.0000000000e-04,	-4.8488379406e-02,	2.4999553998e+00,	4.6862384024e+02,	2.9457828167e+02,	3.4809111713e+00
1.0000000000e-03,	-4.8123015848e-02,	2.4999505690e+00,	4.8023987813e+02,	2.8901699274e+02,	3.8244577078e+00
1.1000000000e-03,	-4.7723901633e-02,	2.4999457763e+00,	4.9137049605e+02,	2.8359403174e+02,	4.1555292863e+00
1.2000000000e-03,	-4.7292486132e-02,	2.4999410253e+00,	5.0170127737e+02,	2.7831404869e+02,	4.4677445735e+00
1.3000000000e-03,	-4.6831410490e-02,	2.4999363188e+00,	5.1073089746e+02,	2.7318131482e+02,	4.7509916528e+00
1.4000000000e-03,	-4.6342740144e-02,	2.4999316599e+00,	5.1922080864e+02,	2.6819959678e+02,	5.0204242372e+00
1.5000000000e-03,	-4.5827695750e-02,	2.4999270512e+00,	5.2730815079e+02,	2.6337237804e+02,	5.2787154550e+00
1.6000000000e-03,	-4.5287332968e-02,	2.4999224952e+00,	5.3504870488e+02,	2.5870294039e+02,	5.5269152898e+00
1.7000000000e-03,	-4.4722629622e-02,	2.4999179945e+00,	5.4247440634e+02,	2.5419438523e+02,	5.7656004223e+00
1.8000000000e-03,	-4.4134517956e-02,	2.4999135515e+00,	5.4960612022e+02,	2.4984964396e+02,	5.9951295252e+00
1.9000000000e-03,	-4.3523900898e-02,	2.4999091684e+00,	5.5645852527e+02,	2.4567148368e+02,	6.2157408318e+00
